Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,10,36793.8,Monthly,Rented,8.2,No,3,Sibling,45,27936.66,No,No,Business,Savings,0,1
Private,10,43277.78,Biweekly,Rented,2.6,No,3,Spouse,19,38382.89,Yes,Yes,None,Insurance,0,0
Public,8,16479.46,Bimonthly,Rented,1.7,Yes,0,Parent,93,34751.98,Yes,Yes,Freelance,Insurance,0,0
Private,21,24661.32,Weekly,Owned,2.4,Yes,0,Parent,108,23382.89,Yes,No,Business,Savings,0,0
Private,65,19167.95,Bimonthly,Rented,3.2,No,3,Friend,58,23475.95,No,No,Freelance,None,0,0
Public,71,30352.78,Weekly,Rented,6.0,No,5,Spouse,70,37804.32,No,No,None,Community Plan,0,0
Private,114,25256.34,Bimonthly,Owned,2.9,Yes,5,Friend,30,20903.65,Yes,No,Freelance,Savings,0,1
Private,120,16134.84,Monthly,Owned,1.4,No,2,Parent,58,29443.25,Yes,No,None,None,0,0
Private,103,18379.72,Monthly,Owned,0.5,Yes,0,Friend,35,33349.02,No,No,None,Insurance,0,1
Private,62,43899.08,Biweekly,Owned,8.6,No,4,Spouse,80,43986.08,No,Yes,None,Savings,0,0
Private,95,29865.57,Bimonthly,Rented,4.0,Yes,0,Friend,103,38096.88,Yes,Yes,OFW Remittance,Insurance,0,0
Public,22,30663.02,Biweekly,Owned,1.0,No,4,Sibling,93,18217.6,Yes,No,OFW Remittance,Savings,0,0
Public,84,19651.65,Monthly,Owned,8.8,Yes,5,Friend,97,41636.4,No,No,Freelance,Community Plan,0,0
Public,69,25823.86,Monthly,Rented,2.4,Yes,2,Parent,18,37717.14,Yes,Yes,OFW Remittance,None,0,0
Public,117,38821.41,Monthly,Owned,0.8,Yes,4,Friend,105,28081.44,Yes,Yes,Freelance,Savings,0,0
Public,61,44958.27,Monthly,Rented,8.5,No,3,Sibling,79,15396.35,Yes,No,Freelance,Insurance,0,0
Private,107,22624.33,Monthly,Owned,6.7,Yes,3,Sibling,72,16589.8,Yes,Yes,Freelance,Insurance,0,0
Private,58,33307.4,Bimonthly,Rented,8.9,Yes,3,Spouse,35,16200.0,Yes,Yes,Business,None,0,0
Private,43,39120.76,Weekly,Rented,9.1,Yes,1,Sibling,107,31318.3,No,Yes,Business,Insurance,0,0
Public,6,23030.74,Bimonthly,Owned,6.0,No,4,Sibling,42,28212.48,No,Yes,Freelance,Savings,0,0
Private,110,34210.07,Biweekly,Rented,9.1,No,4,Friend,24,19274.64,No,No,None,Insurance,0,0
Public,39,20399.99,Weekly,Rented,4.4,No,4,Sibling,117,41572.07,No,Yes,OFW Remittance,None,0,1
Private,34,33115.24,Biweekly,Rented,4.6,Yes,5,Parent,103,17955.98,No,No,OFW Remittance,Insurance,0,1
Private,109,20165.62,Bimonthly,Owned,1.5,Yes,5,Spouse,109,15171.7,Yes,Yes,Business,Savings,0,0
Private,101,27562.27,Weekly,Rented,3.7,Yes,4,Sibling,52,28921.17,No,No,Freelance,Savings,0,0
Public,47,15454.09,Weekly,Rented,9.7,No,4,Parent,13,18912.05,Yes,Yes,None,Insurance,0,0
Public,49,21249.91,Biweekly,Rented,4.6,No,4,Parent,81,38624.56,Yes,Yes,Freelance,Savings,0,0
Public,44,37135.06,Biweekly,Owned,5.3,No,5,Friend,52,33778.97,No,Yes,None,Savings,0,0
Private,88,20823.49,Bimonthly,Rented,8.8,No,3,Friend,16,19235.57,No,Yes,Business,Savings,0,0
Private,74,41034.13,Weekly,Owned,0.2,No,5,Spouse,51,26499.17,No,Yes,None,Community Plan,0,0
Private,120,26929.97,Biweekly,Rented,2.1,Yes,1,Spouse,70,29582.14,Yes,No,OFW Remittance,Community Plan,0,0
Private,31,24420.6,Biweekly,Owned,9.6,Yes,1,Sibling,29,36297.69,No,No,Freelance,Insurance,0,1
Private,6,44222.85,Monthly,Rented,4.5,No,1,Sibling,32,36032.98,No,Yes,None,None,0,0
Private,99,43546.02,Bimonthly,Rented,4.5,No,1,Sibling,10,22972.91,Yes,Yes,Freelance,Insurance,0,0
Private,72,17723.02,Monthly,Owned,8.6,Yes,2,Parent,74,31044.49,No,No,OFW Remittance,Community Plan,0,1
Private,49,27332.67,Biweekly,Owned,4.3,No,3,Friend,50,23568.76,Yes,No,None,Insurance,0,1
Private,87,17301.41,Biweekly,Owned,1.8,No,5,Parent,42,24926.89,Yes,Yes,Freelance,Insurance,0,0
Public,48,42803.71,Monthly,Rented,5.5,No,3,Spouse,51,38510.35,No,Yes,Freelance,Insurance,0,0
Private,61,42632.95,Monthly,Owned,3.9,Yes,3,Friend,97,37779.53,Yes,No,Business,Community Plan,0,0
Private,11,26484.6,Weekly,Rented,6.1,No,3,Sibling,30,36434.28,No,No,Business,Community Plan,0,0
Public,92,44727.84,Bimonthly,Rented,8.5,No,2,Friend,32,39293.37,Yes,Yes,None,Insurance,0,0
Private,19,29420.56,Monthly,Rented,1.6,Yes,4,Friend,114,43170.46,No,Yes,Business,Savings,0,0
Private,87,42445.0,Bimonthly,Rented,7.0,Yes,5,Parent,21,17653.65,Yes,No,OFW Remittance,Insurance,0,0
Private,110,30479.37,Bimonthly,Owned,4.8,Yes,4,Sibling,43,32123.01,No,No,OFW Remittance,Insurance,0,0
Public,19,40542.46,Bimonthly,Owned,1.4,Yes,4,Spouse,36,30859.52,No,No,None,Savings,0,0
Public,101,34725.65,Bimonthly,Rented,3.6,No,4,Parent,68,38077.92,No,No,Freelance,Insurance,0,0
Private,49,24570.81,Bimonthly,Rented,7.2,Yes,1,Parent,61,35368.79,No,No,Business,Community Plan,0,0
Private,54,43942.42,Monthly,Rented,0.7,Yes,3,Spouse,71,32621.91,No,No,None,Savings,0,0
Private,62,28682.85,Biweekly,Owned,3.0,Yes,3,Parent,85,32667.41,No,Yes,Freelance,None,0,0
Private,114,26078.21,Bimonthly,Owned,8.7,No,5,Friend,108,27375.97,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,51,42085.23,Bimonthly,Rented,6.3,Yes,0,Sibling,118,17976.9,No,No,Business,None,0,0
Public,89,17165.71,Monthly,Rented,7.4,No,3,Parent,101,29191.27,No,No,Freelance,None,0,0
Private,103,25574.07,Weekly,Rented,3.7,No,5,Friend,103,35307.24,No,Yes,Business,Savings,0,0
Private,40,19921.84,Monthly,Owned,8.0,Yes,3,Spouse,59,20295.5,Yes,No,Business,Savings,0,0
Public,66,27607.93,Monthly,Owned,5.5,Yes,2,Parent,60,34128.37,No,Yes,OFW Remittance,Savings,0,0
Private,113,30473.11,Biweekly,Owned,4.0,Yes,1,Spouse,50,23975.31,Yes,Yes,Freelance,None,0,0
Public,105,33561.39,Weekly,Rented,4.2,Yes,0,Spouse,88,20379.58,No,No,Freelance,Insurance,0,0
Private,102,22660.1,Weekly,Rented,3.9,Yes,5,Friend,83,16452.46,Yes,No,None,None,0,0
Public,28,26417.5,Weekly,Owned,9.5,Yes,3,Friend,30,23412.27,Yes,No,Business,None,0,0
Public,37,35443.85,Biweekly,Owned,8.5,No,2,Sibling,15,27378.93,Yes,No,Business,Savings,0,0
Public,44,25735.44,Monthly,Owned,6.8,No,5,Sibling,85,41866.68,No,Yes,Freelance,Insurance,0,0
Private,17,28144.17,Biweekly,Rented,8.2,Yes,3,Sibling,39,43795.08,No,Yes,Freelance,Community Plan,0,0
Private,30,31331.32,Bimonthly,Owned,6.8,No,5,Spouse,66,40722.37,No,No,Freelance,None,0,0
Private,71,42033.61,Monthly,Owned,3.3,No,1,Parent,71,38627.64,Yes,Yes,None,Insurance,0,0
Private,87,39736.57,Biweekly,Owned,8.5,No,4,Parent,42,38539.2,Yes,Yes,Freelance,Savings,0,0
Public,108,43355.44,Biweekly,Rented,9.0,Yes,0,Spouse,41,35748.91,Yes,Yes,Freelance,Insurance,0,0
Public,8,15415.26,Monthly,Owned,0.2,Yes,0,Parent,116,29859.08,No,No,OFW Remittance,Community Plan,0,0
Private,107,36852.59,Monthly,Owned,4.6,Yes,5,Sibling,23,21642.72,No,No,Freelance,Community Plan,0,0
Private,65,19964.89,Weekly,Owned,7.0,No,3,Sibling,47,25527.35,No,Yes,Business,None,0,0
Private,29,36397.1,Bimonthly,Owned,7.8,Yes,5,Friend,107,23910.98,No,No,OFW Remittance,Community Plan,0,1
Public,8,20370.32,Bimonthly,Rented,1.6,Yes,1,Friend,60,28074.18,No,No,Business,None,0,0
Public,45,27758.01,Weekly,Rented,8.3,No,2,Sibling,13,44748.66,No,No,OFW Remittance,None,0,0
Private,25,16021.2,Weekly,Owned,7.1,Yes,0,Friend,54,30355.61,No,No,Business,Savings,0,0
Private,12,23142.1,Bimonthly,Rented,3.0,No,5,Friend,26,44064.25,No,Yes,Business,None,0,0
Public,26,35619.05,Bimonthly,Owned,9.8,No,0,Parent,97,25859.3,No,Yes,OFW Remittance,None,0,0
Private,53,37733.73,Biweekly,Owned,2.9,No,1,Spouse,27,24568.79,Yes,Yes,None,Insurance,0,0
Public,23,26718.51,Monthly,Rented,2.4,Yes,0,Sibling,71,15871.65,Yes,Yes,OFW Remittance,Insurance,0,0
Public,99,25018.7,Bimonthly,Rented,9.4,Yes,2,Parent,76,40196.12,Yes,No,Freelance,Insurance,0,1
Private,34,22528.17,Biweekly,Owned,6.0,No,5,Parent,89,27124.15,Yes,Yes,None,None,0,0
Public,25,23296.11,Bimonthly,Rented,8.5,Yes,3,Parent,102,39170.04,Yes,No,None,Savings,0,0
Private,78,39341.88,Monthly,Rented,8.6,Yes,5,Parent,15,25586.33,No,No,Freelance,None,0,1
Private,45,23824.59,Monthly,Rented,6.5,No,4,Parent,59,35619.8,Yes,No,Business,None,0,0
Public,71,22521.76,Weekly,Rented,7.6,No,3,Parent,73,30880.32,Yes,Yes,OFW Remittance,Insurance,0,0
Public,53,25681.98,Monthly,Owned,0.7,Yes,2,Spouse,24,29237.08,Yes,No,None,Community Plan,0,0
Public,15,28241.42,Weekly,Owned,4.3,Yes,4,Spouse,26,33280.11,No,No,None,Savings,0,0
Public,97,36433.8,Bimonthly,Owned,8.8,Yes,2,Parent,110,19669.85,Yes,No,Freelance,Community Plan,0,1
Private,52,40439.51,Biweekly,Owned,0.5,No,0,Spouse,44,44956.76,Yes,No,Business,Community Plan,0,0
Private,119,34766.53,Bimonthly,Owned,3.7,Yes,4,Spouse,74,33548.54,Yes,Yes,None,Savings,0,0
Private,27,20045.95,Biweekly,Rented,6.6,No,3,Sibling,39,42864.03,No,No,Business,Savings,0,0
Public,7,24422.71,Monthly,Rented,8.3,Yes,3,Parent,52,42620.96,Yes,No,None,Insurance,0,0
Private,113,38746.76,Monthly,Rented,5.1,Yes,3,Sibling,85,23692.13,No,Yes,OFW Remittance,Community Plan,0,0
Public,9,28392.89,Bimonthly,Owned,3.6,No,5,Friend,20,25871.52,Yes,Yes,Freelance,None,0,1
Public,70,20985.88,Bimonthly,Owned,0.6,No,1,Sibling,80,44171.97,No,Yes,Business,Savings,0,0
Public,76,28830.25,Weekly,Rented,5.4,No,0,Parent,58,27776.34,Yes,Yes,Business,Savings,0,0
Public,65,38088.43,Biweekly,Owned,5.1,No,5,Parent,56,26652.7,Yes,No,Business,Insurance,0,0
Public,113,34964.93,Weekly,Owned,7.8,No,4,Spouse,70,32100.37,No,Yes,Business,Savings,0,1
Private,46,39290.63,Monthly,Owned,3.0,No,0,Parent,44,16629.32,Yes,No,None,Insurance,0,0
Public,58,41221.57,Biweekly,Owned,6.5,No,1,Parent,118,19613.43,No,No,Freelance,None,0,0
Private,29,42924.78,Monthly,Owned,5.6,Yes,3,Sibling,59,31723.72,No,No,Freelance,Community Plan,0,0
Private,42,26254.05,Monthly,Owned,0.4,Yes,0,Friend,53,42675.29,Yes,No,OFW Remittance,Insurance,0,0
Private,57,20982.3,Weekly,Owned,3.0,No,3,Spouse,61,34162.65,Yes,No,None,None,0,1
Public,110,28619.69,Weekly,Owned,6.9,Yes,0,Spouse,28,21605.44,No,Yes,None,Community Plan,0,0
Public,21,36249.69,Monthly,Owned,6.8,Yes,5,Parent,37,23399.7,Yes,Yes,OFW Remittance,Insurance,0,0
Public,95,42690.02,Biweekly,Rented,0.4,Yes,3,Sibling,66,40874.79,No,No,Business,Savings,0,0
Public,34,26112.87,Monthly,Rented,3.0,No,3,Parent,85,23480.54,No,No,None,Insurance,0,1
Public,66,24639.66,Weekly,Rented,9.5,Yes,5,Friend,60,20395.04,No,No,None,Insurance,0,0
Public,45,23052.47,Monthly,Rented,6.2,Yes,1,Spouse,47,32462.93,Yes,No,OFW Remittance,None,0,0
Private,82,40612.75,Monthly,Rented,5.3,No,2,Spouse,57,32924.01,Yes,Yes,Freelance,Savings,0,0
Private,59,37301.36,Weekly,Rented,2.0,No,2,Sibling,102,26425.08,No,No,None,Savings,0,0
Private,16,38758.66,Weekly,Rented,6.6,No,2,Friend,116,38806.43,No,Yes,Business,Savings,0,0
Private,117,20825.23,Weekly,Rented,4.7,No,0,Sibling,112,33643.14,No,Yes,Business,Insurance,0,0
Private,85,23639.31,Biweekly,Rented,1.0,No,4,Friend,67,22486.45,Yes,No,OFW Remittance,Insurance,0,0
Private,59,24201.77,Biweekly,Rented,5.4,No,0,Parent,16,29655.26,No,No,Business,Community Plan,0,0
Public,38,43759.68,Weekly,Owned,4.4,Yes,4,Spouse,41,35798.77,Yes,Yes,None,None,0,0
Public,96,33626.79,Biweekly,Rented,9.3,Yes,3,Sibling,111,21082.51,No,Yes,None,Community Plan,0,0
Public,9,20439.48,Monthly,Rented,4.4,No,3,Spouse,33,28190.48,Yes,No,Business,Insurance,0,0
Private,15,21172.95,Monthly,Owned,0.4,Yes,0,Parent,69,36611.06,No,No,OFW Remittance,Savings,0,0
Private,97,16558.44,Biweekly,Owned,4.5,Yes,1,Spouse,85,30362.17,Yes,Yes,Freelance,Community Plan,0,0
Private,105,41937.57,Biweekly,Owned,9.2,Yes,5,Parent,76,19497.62,No,No,Business,None,0,0
Public,98,36618.82,Biweekly,Rented,7.5,Yes,5,Sibling,86,15923.31,No,Yes,OFW Remittance,Community Plan,0,1
Private,12,40968.89,Bimonthly,Rented,8.9,No,3,Friend,76,19495.88,Yes,Yes,Business,Community Plan,0,0
Public,63,31088.66,Monthly,Owned,8.9,Yes,3,Friend,82,21865.93,Yes,Yes,OFW Remittance,Insurance,0,0
Private,73,40811.74,Monthly,Owned,8.4,No,5,Sibling,92,28672.45,No,Yes,None,Community Plan,0,0
Public,6,37139.08,Bimonthly,Owned,3.6,Yes,1,Friend,77,22041.75,Yes,Yes,Business,None,0,0
Public,22,44487.77,Bimonthly,Owned,3.9,Yes,4,Spouse,66,24624.05,No,No,None,Savings,0,0
Public,46,22314.83,Biweekly,Rented,5.5,No,5,Friend,118,16544.06,Yes,No,OFW Remittance,Insurance,0,0
Private,114,31561.21,Monthly,Rented,1.3,Yes,0,Parent,83,42705.94,Yes,Yes,None,Savings,0,0
Private,16,28576.53,Monthly,Rented,0.3,No,0,Friend,20,20170.77,Yes,No,None,Insurance,0,0
Private,13,41697.84,Monthly,Rented,5.3,Yes,2,Parent,106,16327.17,No,No,OFW Remittance,Community Plan,0,1
Public,15,37009.1,Monthly,Owned,9.0,No,2,Spouse,31,19163.04,Yes,No,Freelance,Community Plan,0,0
Public,41,41283.13,Monthly,Rented,8.0,Yes,0,Spouse,20,36237.65,No,Yes,OFW Remittance,Community Plan,0,0
Public,80,30845.38,Bimonthly,Owned,9.7,Yes,3,Friend,11,20462.1,Yes,Yes,Business,Insurance,0,0
Public,30,44975.34,Bimonthly,Rented,8.0,No,3,Sibling,18,36446.56,Yes,No,OFW Remittance,Insurance,0,0
Public,46,15257.56,Monthly,Rented,1.5,Yes,1,Spouse,38,35003.41,No,Yes,Freelance,Community Plan,0,0
Private,100,32732.97,Weekly,Owned,9.3,Yes,4,Spouse,93,25782.55,No,No,Business,Insurance,0,0
Public,106,19174.66,Bimonthly,Owned,0.7,No,1,Spouse,96,25388.43,No,No,OFW Remittance,Community Plan,0,0
Public,25,30025.2,Biweekly,Owned,2.9,No,2,Spouse,109,36464.95,No,No,Business,Savings,0,0
Private,18,17443.81,Bimonthly,Rented,8.4,No,3,Spouse,70,19678.03,No,Yes,OFW Remittance,None,0,0
Private,56,26659.09,Monthly,Owned,5.6,Yes,4,Sibling,108,38887.21,Yes,No,Freelance,Insurance,0,0
Public,53,20300.9,Weekly,Owned,9.0,No,2,Spouse,47,44429.63,No,Yes,Freelance,Community Plan,0,0
Private,98,23901.17,Monthly,Rented,3.6,Yes,2,Parent,42,42620.66,Yes,No,OFW Remittance,Savings,0,0
Private,57,26257.95,Monthly,Rented,8.5,No,0,Parent,106,40755.74,Yes,No,Business,Savings,0,0
Private,101,26185.55,Biweekly,Owned,9.9,No,5,Parent,111,18059.09,No,No,OFW Remittance,Community Plan,0,0
Public,38,23358.3,Monthly,Rented,6.3,Yes,4,Parent,29,32320.27,Yes,Yes,None,None,0,0
Public,75,17425.46,Biweekly,Rented,3.8,Yes,0,Spouse,87,29483.55,Yes,No,Business,Community Plan,0,0
Private,8,26054.53,Weekly,Owned,2.5,Yes,2,Spouse,53,38301.41,Yes,Yes,Freelance,None,0,0
Private,9,28289.91,Monthly,Rented,8.4,No,4,Friend,93,27996.44,No,Yes,OFW Remittance,Savings,0,0
Private,93,35544.87,Monthly,Rented,3.4,No,0,Friend,83,24875.46,Yes,Yes,Freelance,Insurance,0,0
Private,110,16014.91,Bimonthly,Owned,0.8,No,5,Sibling,29,35132.18,No,No,Business,None,0,0
Public,10,24735.6,Weekly,Rented,8.9,Yes,1,Sibling,90,32567.4,Yes,No,None,Insurance,0,1
Public,46,27798.06,Monthly,Rented,3.7,No,2,Spouse,46,34598.28,No,Yes,None,Insurance,0,0
Public,38,15911.93,Bimonthly,Rented,1.1,No,0,Parent,98,26061.56,No,No,Business,Community Plan,0,0
Public,19,20051.62,Weekly,Rented,8.5,Yes,3,Friend,30,42560.5,No,Yes,Freelance,Insurance,0,1
Public,29,25219.77,Monthly,Rented,2.9,No,0,Sibling,57,16875.58,Yes,Yes,Freelance,Insurance,0,0
Private,113,24494.62,Weekly,Rented,2.8,Yes,0,Friend,73,31288.13,Yes,Yes,Business,Savings,0,0
Private,96,16662.98,Biweekly,Rented,4.4,Yes,1,Friend,67,32584.56,No,Yes,Business,Community Plan,0,0
Public,36,35235.64,Monthly,Owned,4.0,Yes,4,Spouse,110,43387.8,Yes,No,OFW Remittance,Savings,0,0
Public,89,37040.19,Weekly,Rented,1.4,Yes,3,Sibling,111,26853.62,Yes,No,Business,Community Plan,0,0
Private,69,24692.31,Monthly,Owned,7.9,Yes,4,Parent,105,23414.1,No,Yes,Freelance,Community Plan,0,0
Private,57,30567.11,Bimonthly,Rented,6.4,Yes,0,Spouse,64,26390.53,No,Yes,None,Savings,0,0
Private,26,22031.0,Biweekly,Rented,5.5,No,4,Parent,37,33049.99,Yes,No,None,Community Plan,0,0
Public,20,36655.99,Biweekly,Owned,0.7,Yes,2,Parent,40,16181.23,No,No,OFW Remittance,None,0,0
Private,57,29559.68,Weekly,Owned,4.9,Yes,4,Spouse,108,25211.68,Yes,Yes,Business,None,0,0
Public,8,44289.09,Biweekly,Rented,3.8,Yes,3,Sibling,105,26078.65,Yes,Yes,Business,Community Plan,0,0
Public,72,36924.99,Bimonthly,Owned,0.7,Yes,4,Sibling,67,40846.3,No,No,OFW Remittance,None,0,0
Public,117,16077.47,Weekly,Rented,6.8,Yes,1,Friend,115,33600.36,No,No,OFW Remittance,Insurance,0,0
Private,17,23393.97,Biweekly,Rented,9.9,No,0,Parent,15,30420.81,No,Yes,Business,Savings,0,0
Public,41,29269.17,Biweekly,Owned,8.3,No,0,Spouse,31,43074.41,Yes,No,Freelance,None,0,0
Public,64,43253.1,Monthly,Owned,6.0,Yes,4,Friend,90,26590.35,Yes,No,Business,Savings,0,0
Private,73,17631.49,Monthly,Owned,9.9,No,4,Parent,65,30604.0,No,No,Freelance,Insurance,0,0
Private,112,24499.29,Weekly,Owned,5.7,Yes,0,Parent,114,18945.09,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,66,37509.82,Weekly,Rented,3.5,No,4,Spouse,95,37309.55,No,No,Business,None,0,0
Public,26,38904.14,Bimonthly,Owned,3.1,Yes,2,Spouse,54,34414.26,Yes,Yes,Freelance,Savings,0,0
Public,72,37511.62,Weekly,Owned,6.2,Yes,5,Spouse,22,21974.37,No,No,None,Savings,0,0
Private,50,19346.84,Bimonthly,Owned,2.1,No,0,Parent,17,33529.1,No,No,OFW Remittance,Community Plan,0,0
Public,68,37654.27,Weekly,Rented,1.8,No,2,Sibling,105,40162.99,Yes,Yes,None,None,0,0
Private,30,29560.92,Monthly,Rented,0.8,Yes,1,Parent,90,43796.72,Yes,No,None,Insurance,0,0
Private,38,30845.29,Bimonthly,Rented,2.6,Yes,0,Sibling,63,37168.52,No,No,OFW Remittance,None,0,0
Private,54,37499.33,Monthly,Owned,5.7,Yes,4,Sibling,91,38209.19,Yes,Yes,Business,Insurance,0,0
Private,56,26695.16,Biweekly,Rented,4.8,Yes,0,Sibling,15,18256.92,No,No,None,Savings,0,0
Public,49,41854.48,Biweekly,Rented,5.6,Yes,4,Sibling,104,33519.76,Yes,Yes,Business,Insurance,0,0
Public,99,36367.36,Monthly,Rented,9.9,No,5,Friend,70,35940.59,Yes,Yes,None,Insurance,0,0
Private,22,43057.16,Weekly,Rented,1.6,Yes,2,Friend,11,43766.03,No,No,OFW Remittance,Community Plan,0,1
Private,31,39755.75,Weekly,Owned,0.2,Yes,4,Spouse,83,26830.47,No,Yes,Freelance,Community Plan,0,0
Public,25,36533.51,Monthly,Owned,5.0,No,5,Sibling,18,26670.24,Yes,Yes,Freelance,None,0,0
Public,54,37192.54,Bimonthly,Rented,6.5,Yes,4,Sibling,12,28138.03,No,Yes,Freelance,Community Plan,0,0
Public,53,39531.98,Monthly,Owned,6.4,Yes,0,Spouse,54,20361.96,Yes,No,Business,Insurance,0,0
Private,10,43093.27,Weekly,Rented,9.0,No,0,Parent,67,34195.16,Yes,No,Business,Savings,0,0
Public,30,24190.21,Monthly,Rented,2.6,No,3,Friend,95,37698.17,No,Yes,Business,Insurance,0,0
Private,44,30584.12,Biweekly,Owned,2.6,Yes,5,Spouse,66,30364.98,No,No,None,Savings,0,1
Private,87,30177.97,Bimonthly,Owned,7.8,No,0,Spouse,81,15569.01,No,Yes,OFW Remittance,Savings,0,0
Public,112,39468.08,Weekly,Rented,9.9,Yes,1,Parent,19,20957.59,Yes,No,OFW Remittance,Savings,0,0
Private,72,37736.97,Biweekly,Rented,5.4,Yes,5,Friend,84,15067.95,Yes,No,Freelance,None,0,0
Public,12,25511.07,Bimonthly,Rented,6.2,Yes,5,Sibling,112,27426.04,No,No,Freelance,Insurance,0,0
Private,107,27563.58,Biweekly,Owned,6.7,Yes,5,Sibling,52,38831.79,Yes,No,None,None,0,0
Public,43,17575.69,Biweekly,Rented,8.0,Yes,4,Parent,32,27346.33,No,Yes,None,None,0,0
Private,115,30223.08,Monthly,Rented,4.2,No,4,Spouse,45,42301.24,Yes,Yes,Freelance,None,0,1
Private,56,30662.45,Bimonthly,Rented,1.0,No,0,Parent,98,44971.29,Yes,No,OFW Remittance,None,0,0
Public,54,22478.87,Biweekly,Owned,4.7,Yes,0,Friend,71,41926.33,No,Yes,Business,Insurance,0,0
Private,19,30159.12,Weekly,Owned,5.6,No,5,Parent,15,25712.87,Yes,No,Business,Insurance,0,0
Private,30,21332.68,Monthly,Owned,1.9,No,5,Parent,49,33102.29,No,Yes,Business,None,0,1
Public,83,43969.99,Bimonthly,Rented,4.3,Yes,4,Spouse,36,29831.13,No,Yes,Freelance,Insurance,0,0
Private,34,18723.54,Bimonthly,Owned,5.6,No,3,Parent,75,37039.07,No,Yes,Business,None,0,0
Public,22,20627.63,Biweekly,Owned,3.9,No,0,Sibling,17,41498.89,Yes,No,None,None,0,0
Private,110,43573.11,Monthly,Rented,8.9,No,3,Spouse,36,42009.93,Yes,Yes,None,Savings,0,0
Public,16,44479.43,Weekly,Rented,9.8,No,2,Friend,69,32932.27,No,No,Freelance,Savings,0,0
Private,90,38052.11,Biweekly,Rented,8.2,Yes,3,Spouse,23,39853.0,Yes,Yes,OFW Remittance,Savings,0,0
Private,82,18421.11,Biweekly,Owned,9.3,No,1,Parent,28,40981.37,No,Yes,Freelance,Savings,0,0
Private,47,33219.03,Biweekly,Owned,5.6,No,4,Parent,28,18300.57,Yes,No,None,None,0,0
Public,61,16268.43,Weekly,Owned,4.1,Yes,0,Parent,17,41151.69,No,No,OFW Remittance,Savings,0,1
Private,72,36216.59,Weekly,Rented,7.1,Yes,5,Friend,98,35627.49,Yes,No,None,Community Plan,0,0
Public,111,39742.11,Biweekly,Rented,6.2,Yes,3,Sibling,61,20898.11,Yes,No,Freelance,Insurance,0,0
Public,57,30937.39,Weekly,Rented,4.5,Yes,0,Friend,52,44898.92,Yes,No,None,Insurance,0,0
Private,22,27720.95,Weekly,Rented,1.7,No,5,Friend,47,18724.82,Yes,Yes,None,Savings,0,1
Private,106,39007.48,Bimonthly,Owned,1.4,Yes,5,Spouse,90,42666.43,No,No,Business,Savings,0,0
Public,67,41687.67,Weekly,Owned,3.3,No,5,Sibling,23,15990.7,No,Yes,Freelance,Savings,0,0
Private,25,24716.22,Bimonthly,Owned,6.2,Yes,4,Friend,46,25729.59,Yes,No,Business,None,0,1
Private,32,38124.97,Bimonthly,Rented,7.7,Yes,0,Parent,108,32088.28,Yes,No,None,Savings,0,0
Public,38,43057.93,Weekly,Rented,5.8,Yes,3,Friend,16,26594.86,No,Yes,None,Insurance,0,0
Private,84,18268.72,Bimonthly,Owned,1.4,Yes,1,Friend,15,27219.29,No,Yes,OFW Remittance,Insurance,0,0
Public,11,41708.39,Weekly,Rented,1.2,No,4,Sibling,57,25010.17,No,No,OFW Remittance,Insurance,0,0
Public,50,23817.93,Monthly,Rented,7.1,Yes,3,Friend,15,36325.69,Yes,No,OFW Remittance,Insurance,0,0
Private,63,18097.93,Biweekly,Owned,7.8,No,2,Sibling,114,42437.21,No,No,None,Community Plan,0,1
Public,114,34441.31,Bimonthly,Rented,0.8,No,0,Parent,118,26800.99,Yes,No,Freelance,Community Plan,0,0
Private,67,27381.4,Monthly,Rented,3.8,No,2,Sibling,17,36274.39,No,Yes,None,None,0,0
Public,49,17839.39,Weekly,Owned,9.5,Yes,2,Spouse,40,43436.62,Yes,No,None,Insurance,0,0
Private,89,33510.51,Weekly,Rented,8.4,No,5,Friend,12,24114.38,No,Yes,Freelance,Insurance,0,0
Private,99,44070.63,Weekly,Rented,9.1,Yes,4,Friend,12,25073.83,No,No,None,Savings,0,0
Public,115,38285.22,Bimonthly,Rented,5.3,Yes,4,Spouse,101,34291.57,No,Yes,Business,Community Plan,0,0
Private,54,30585.13,Monthly,Rented,9.0,Yes,5,Friend,113,40419.87,Yes,No,OFW Remittance,None,0,1
Public,20,21482.04,Biweekly,Rented,2.9,No,1,Parent,93,31002.1,Yes,Yes,None,Savings,0,1
Public,94,28447.16,Weekly,Owned,5.0,Yes,4,Spouse,84,26723.75,Yes,Yes,None,Insurance,0,0
Private,69,21380.86,Weekly,Owned,3.1,Yes,1,Spouse,26,19260.61,Yes,Yes,OFW Remittance,None,0,0
Private,34,43487.93,Weekly,Rented,8.3,No,4,Friend,105,30608.49,Yes,Yes,Freelance,Community Plan,0,0
