Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,114,18718.06,Weekly,Owned,4.9,Yes,2,Spouse,33,20776.5,No,No,Freelance,Community Plan,0,0
Private,91,25680.69,Weekly,Rented,2.8,Yes,4,Parent,48,30170.86,Yes,No,None,Savings,0,0
Public,80,21621.08,Biweekly,Owned,9.5,No,5,Friend,49,35492.17,Yes,No,None,Savings,0,1
Private,11,38094.51,Bimonthly,Owned,8.0,No,2,Sibling,61,17603.16,Yes,No,None,Savings,0,0
Private,45,18671.1,Monthly,Rented,3.2,No,0,Spouse,67,21874.4,No,No,OFW Remittance,Community Plan,0,1
Private,64,43595.3,Weekly,Owned,8.3,Yes,5,Sibling,49,43758.24,Yes,Yes,Freelance,None,0,0
Private,43,44288.97,Weekly,Owned,6.7,No,4,Parent,46,23880.1,No,No,None,Insurance,0,0
Public,12,37357.96,Weekly,Owned,2.4,No,4,Friend,79,22992.95,Yes,Yes,Business,None,0,0
Public,81,39313.48,Monthly,Rented,2.3,No,1,Parent,12,35469.5,No,No,None,Savings,0,0
Public,36,28939.8,Monthly,Owned,5.9,No,1,Sibling,37,38493.3,Yes,No,Freelance,Community Plan,0,0
Private,7,33268.24,Weekly,Rented,7.7,No,4,Parent,25,31730.31,Yes,No,Business,Community Plan,0,0
Public,26,15443.22,Monthly,Rented,2.1,Yes,3,Friend,34,33562.28,Yes,No,Business,Community Plan,0,1
Private,71,23403.14,Bimonthly,Owned,2.2,Yes,4,Parent,29,25902.1,Yes,No,Freelance,Savings,0,0
Public,110,40553.05,Biweekly,Owned,1.3,No,1,Parent,81,40589.64,Yes,No,Business,None,0,0
Public,114,26741.27,Weekly,Owned,9.0,No,0,Sibling,98,16181.7,No,No,Freelance,Community Plan,0,1
Public,46,43424.66,Weekly,Owned,9.8,No,1,Sibling,15,30874.69,Yes,No,Freelance,Insurance,0,0
Public,80,34227.2,Bimonthly,Owned,4.9,No,1,Sibling,87,30828.28,No,Yes,Business,Savings,0,0
Public,113,40902.76,Monthly,Rented,1.5,Yes,3,Sibling,109,42454.89,No,No,Freelance,Savings,0,0
Public,93,34973.2,Monthly,Owned,6.9,Yes,2,Spouse,89,32606.56,No,Yes,None,Savings,0,0
Private,93,42640.05,Monthly,Rented,7.1,Yes,3,Friend,80,24963.93,Yes,Yes,Freelance,Savings,0,0
Private,52,25612.49,Weekly,Rented,6.2,Yes,2,Spouse,99,35523.37,Yes,No,None,Community Plan,0,0
Private,11,39023.65,Monthly,Owned,2.1,Yes,3,Parent,93,27626.81,No,Yes,OFW Remittance,Community Plan,0,0
Private,95,27983.75,Bimonthly,Owned,5.6,No,3,Spouse,65,34431.77,Yes,No,OFW Remittance,Community Plan,0,1
Private,25,33909.54,Weekly,Rented,2.9,No,0,Spouse,98,20590.34,No,Yes,None,Insurance,0,0
Private,53,34966.75,Monthly,Rented,4.1,No,5,Friend,86,28874.06,Yes,Yes,Freelance,None,0,0
Public,93,41920.19,Weekly,Rented,5.3,No,4,Sibling,19,25759.99,No,Yes,Business,Savings,0,0
Public,30,39921.09,Monthly,Owned,2.9,Yes,4,Friend,70,21903.87,No,Yes,Business,Savings,0,0
Private,92,32569.82,Biweekly,Rented,5.4,Yes,5,Spouse,89,22313.45,No,Yes,None,Savings,0,0
Public,55,44266.7,Weekly,Owned,7.1,No,4,Parent,11,22205.76,Yes,Yes,Business,None,0,0
Private,99,28232.29,Monthly,Owned,7.8,Yes,1,Friend,30,41836.39,Yes,No,Business,None,0,0
Public,55,35592.25,Monthly,Owned,7.1,No,0,Spouse,36,32259.46,Yes,Yes,Business,None,0,0
Private,104,18231.54,Bimonthly,Owned,0.6,Yes,1,Spouse,13,32783.78,No,No,OFW Remittance,Insurance,0,0
Private,95,23274.34,Bimonthly,Rented,10.0,No,1,Spouse,112,20354.99,No,Yes,Freelance,Savings,0,0
Public,89,34868.36,Monthly,Owned,0.9,No,2,Sibling,93,41584.23,No,Yes,OFW Remittance,None,0,0
Public,82,30116.9,Biweekly,Rented,1.2,Yes,0,Parent,12,29016.39,No,No,Freelance,None,0,0
Private,47,42047.13,Biweekly,Owned,7.5,No,2,Parent,96,38664.22,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,113,41316.51,Monthly,Rented,2.1,No,4,Spouse,42,24352.23,No,No,None,None,0,0
Public,59,20923.34,Bimonthly,Owned,9.4,Yes,0,Sibling,103,18817.49,Yes,No,Freelance,Savings,0,0
Private,97,20642.5,Biweekly,Owned,2.8,No,4,Spouse,17,25335.8,Yes,No,Freelance,Insurance,0,0
Public,46,32014.36,Weekly,Rented,0.8,No,2,Spouse,56,36077.48,No,Yes,Business,None,0,0
Public,68,32533.55,Bimonthly,Rented,8.5,No,4,Friend,60,39483.8,Yes,No,Freelance,Community Plan,0,0
Private,44,36888.63,Weekly,Rented,1.2,Yes,0,Sibling,11,28727.39,No,Yes,Business,None,0,0
Private,8,21497.87,Monthly,Owned,7.5,No,4,Friend,112,36125.12,No,No,OFW Remittance,Community Plan,0,0
Private,89,31185.0,Bimonthly,Owned,7.5,Yes,2,Parent,87,30363.05,No,No,None,None,0,0
Private,67,36224.49,Weekly,Rented,4.9,No,3,Friend,77,41111.19,No,Yes,OFW Remittance,Community Plan,0,0
Public,120,39042.61,Bimonthly,Rented,4.5,Yes,5,Friend,81,38866.54,No,No,OFW Remittance,Community Plan,0,0
Private,65,17678.43,Bimonthly,Rented,4.5,Yes,3,Spouse,78,37425.84,No,No,Freelance,None,0,0
Private,50,28398.05,Weekly,Rented,1.8,No,3,Spouse,68,26425.54,No,Yes,Business,Community Plan,0,0
Public,24,19141.81,Weekly,Owned,0.7,No,5,Spouse,23,35141.41,Yes,No,Freelance,None,0,1
Public,43,43117.46,Weekly,Owned,4.2,No,3,Parent,81,37630.36,No,No,Freelance,Savings,0,0
Public,68,27485.6,Weekly,Owned,4.3,Yes,5,Friend,65,39502.32,No,No,OFW Remittance,Insurance,0,0
Public,76,39264.62,Monthly,Rented,5.9,No,4,Parent,83,16946.25,Yes,No,OFW Remittance,Community Plan,0,0
Public,18,29743.57,Bimonthly,Rented,8.2,Yes,0,Friend,112,38473.31,Yes,Yes,OFW Remittance,Insurance,0,0
Private,47,34526.75,Bimonthly,Rented,0.4,No,5,Sibling,41,18550.73,No,No,Business,Savings,0,0
Private,56,39812.17,Weekly,Rented,4.4,No,5,Spouse,52,23615.55,Yes,Yes,None,Insurance,0,0
Public,73,39789.58,Monthly,Rented,8.6,No,5,Parent,86,31856.94,No,Yes,Freelance,None,0,1
Private,23,25082.2,Bimonthly,Owned,9.3,Yes,2,Sibling,70,35528.64,No,No,Freelance,Insurance,0,0
Private,24,39662.67,Weekly,Rented,3.2,No,4,Friend,64,26973.5,No,No,OFW Remittance,None,0,1
Public,47,29581.74,Weekly,Owned,6.3,No,1,Sibling,60,32499.65,No,Yes,OFW Remittance,None,0,0
Public,112,44396.76,Bimonthly,Rented,4.9,No,0,Parent,63,19547.9,No,Yes,None,None,0,0
Private,63,20896.7,Monthly,Rented,8.5,No,0,Spouse,21,34571.27,Yes,Yes,Freelance,Insurance,0,0
Private,112,38603.51,Monthly,Owned,1.7,Yes,0,Sibling,32,30132.72,No,Yes,OFW Remittance,Community Plan,0,0
Private,69,29090.03,Bimonthly,Owned,7.2,Yes,2,Spouse,61,23037.78,No,Yes,None,Savings,0,1
Public,23,25384.92,Bimonthly,Rented,8.5,Yes,5,Friend,13,44486.36,No,Yes,None,Savings,0,0
Public,14,18162.31,Monthly,Rented,9.0,Yes,1,Friend,57,30641.69,No,No,Business,Insurance,0,0
Public,93,34561.87,Monthly,Rented,6.7,No,2,Spouse,67,24877.76,Yes,No,OFW Remittance,Insurance,0,0
Private,96,28927.69,Monthly,Rented,4.7,Yes,3,Parent,78,36892.29,No,No,None,Insurance,0,0
Private,70,24491.94,Bimonthly,Owned,1.5,Yes,5,Spouse,13,17227.28,Yes,Yes,None,Savings,0,0
Private,117,25240.4,Bimonthly,Owned,4.9,Yes,1,Friend,44,26761.62,No,No,OFW Remittance,None,0,0
Public,119,20949.83,Biweekly,Rented,3.3,No,3,Friend,35,33549.62,Yes,No,Freelance,Community Plan,0,0
Public,43,42758.07,Weekly,Owned,8.6,No,2,Spouse,21,18830.06,No,Yes,OFW Remittance,Community Plan,0,0
Private,91,26734.89,Weekly,Rented,3.8,Yes,0,Sibling,71,27285.1,No,Yes,None,None,0,0
Private,57,38200.86,Bimonthly,Owned,8.3,No,5,Parent,111,22746.48,No,No,Business,None,0,0
Public,8,39591.31,Monthly,Owned,2.0,Yes,3,Friend,86,35031.66,No,Yes,None,None,0,0
Private,18,32733.68,Weekly,Rented,6.9,No,5,Sibling,93,23592.17,No,No,OFW Remittance,Savings,0,1
Private,17,33923.37,Biweekly,Owned,8.0,No,2,Parent,114,27416.14,No,No,None,Community Plan,0,0
Private,26,43422.37,Bimonthly,Rented,7.7,No,2,Friend,90,33754.7,Yes,No,None,Savings,0,0
Public,22,28520.0,Weekly,Rented,2.8,Yes,3,Friend,91,30815.57,No,No,OFW Remittance,Savings,0,0
Private,32,36031.29,Weekly,Rented,4.2,Yes,3,Spouse,28,29619.02,No,Yes,Business,Community Plan,0,0
Private,16,18278.83,Weekly,Rented,6.6,Yes,4,Sibling,73,38909.23,No,Yes,None,None,0,0
Private,94,43290.15,Bimonthly,Rented,6.9,Yes,2,Spouse,60,29405.48,Yes,No,OFW Remittance,Community Plan,0,0
Public,118,20704.31,Monthly,Rented,7.6,No,5,Spouse,20,31990.88,Yes,No,Freelance,Savings,0,0
Private,34,41587.29,Biweekly,Rented,0.7,Yes,3,Spouse,55,34367.2,Yes,No,Business,Savings,0,0
Private,10,22179.02,Weekly,Owned,4.6,Yes,5,Sibling,96,42375.09,Yes,No,None,Insurance,0,1
Public,38,23303.96,Biweekly,Rented,9.8,Yes,2,Friend,19,24181.55,Yes,No,Business,Community Plan,0,1
Private,85,43471.23,Monthly,Owned,3.1,No,5,Friend,46,35924.93,Yes,No,Business,Community Plan,0,0
Public,55,25928.25,Weekly,Rented,8.1,Yes,1,Friend,107,21935.94,Yes,No,Freelance,Insurance,0,0
Public,56,27499.83,Weekly,Owned,4.1,No,1,Friend,69,19497.28,Yes,Yes,Freelance,None,0,0
Private,79,15020.59,Biweekly,Owned,3.0,No,5,Spouse,118,30756.63,No,Yes,Freelance,Savings,0,0
Private,90,26597.99,Monthly,Rented,4.1,Yes,4,Spouse,44,31937.96,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,67,42493.97,Weekly,Rented,5.6,Yes,5,Sibling,117,17404.73,No,No,None,Savings,0,1
Private,33,28793.3,Biweekly,Owned,1.7,No,0,Friend,30,34832.12,Yes,No,OFW Remittance,None,0,0
Public,103,29177.98,Biweekly,Owned,0.7,Yes,5,Parent,46,35359.36,Yes,Yes,OFW Remittance,Insurance,0,0
Public,113,42471.85,Weekly,Owned,3.0,Yes,5,Parent,53,30193.05,Yes,Yes,Freelance,Insurance,0,0
Public,103,24652.86,Monthly,Owned,8.3,Yes,4,Friend,57,33402.18,No,Yes,Business,Savings,0,1
Public,47,37372.59,Monthly,Owned,3.2,Yes,3,Parent,78,35918.35,No,No,None,Insurance,0,0
Public,106,24428.4,Biweekly,Owned,1.2,Yes,1,Spouse,44,36876.46,Yes,No,None,Savings,0,0
Public,19,36212.83,Monthly,Owned,0.2,Yes,3,Parent,95,20928.85,Yes,No,Business,Savings,0,0
Public,18,16480.8,Monthly,Rented,1.0,Yes,5,Spouse,106,39663.65,No,No,None,Insurance,0,0
Public,118,41697.96,Biweekly,Owned,9.5,No,1,Spouse,51,24197.14,No,Yes,None,Savings,0,0
Public,46,26127.25,Biweekly,Owned,9.3,No,0,Friend,48,21180.43,Yes,Yes,Freelance,None,0,0
Public,31,29873.82,Weekly,Owned,9.3,No,4,Parent,109,28846.92,No,Yes,Business,None,0,0
Private,50,22449.6,Weekly,Rented,6.5,Yes,0,Sibling,63,31817.42,No,Yes,Freelance,Savings,0,0
Private,16,39711.05,Bimonthly,Owned,4.4,No,3,Spouse,51,35594.61,No,Yes,None,Community Plan,0,0
Private,72,29763.91,Weekly,Owned,8.3,Yes,4,Friend,58,42416.89,Yes,Yes,None,None,0,0
Private,50,16272.44,Bimonthly,Rented,1.2,Yes,3,Friend,106,37579.7,No,Yes,None,Community Plan,0,0
Public,14,27821.51,Biweekly,Owned,5.0,No,0,Parent,58,19687.54,Yes,No,OFW Remittance,Savings,0,0
Private,21,23749.65,Monthly,Owned,7.8,No,0,Friend,117,30960.2,No,No,None,Savings,0,0
Public,73,21313.07,Biweekly,Rented,5.6,No,1,Parent,79,42338.25,Yes,No,None,Insurance,0,0
Private,108,44737.49,Monthly,Owned,9.2,No,5,Friend,115,24343.55,Yes,Yes,Business,Savings,0,0
Public,75,38011.06,Bimonthly,Owned,9.3,No,0,Parent,100,32246.31,Yes,Yes,OFW Remittance,None,0,0
Public,41,23787.39,Monthly,Rented,5.3,No,0,Sibling,112,21683.7,Yes,No,Business,Community Plan,0,1
Public,92,29396.01,Monthly,Rented,8.6,No,5,Sibling,86,39977.46,No,Yes,Business,Community Plan,0,0
Public,43,34491.08,Bimonthly,Owned,9.3,No,1,Friend,78,27001.25,No,No,Freelance,None,0,0
Private,78,41344.54,Bimonthly,Rented,3.6,Yes,4,Parent,41,32863.1,No,Yes,None,Community Plan,0,0
Public,18,37818.05,Bimonthly,Rented,7.1,Yes,4,Sibling,59,36291.92,No,No,Business,Community Plan,0,1
Private,50,24495.55,Monthly,Owned,2.6,Yes,4,Parent,78,27390.86,Yes,Yes,Freelance,Insurance,0,0
Public,104,43054.65,Weekly,Rented,3.9,Yes,3,Spouse,74,26008.99,Yes,Yes,Freelance,Community Plan,0,0
Private,32,17161.59,Monthly,Rented,5.5,No,5,Sibling,65,19999.74,No,Yes,Freelance,None,0,0
Public,44,36129.12,Monthly,Rented,5.1,No,3,Parent,86,27760.27,No,No,Freelance,None,0,0
Public,53,42362.63,Monthly,Rented,9.6,Yes,4,Spouse,10,18123.92,Yes,No,Business,Insurance,0,0
Private,119,25348.17,Bimonthly,Owned,0.9,Yes,4,Friend,23,30614.99,Yes,No,None,None,0,0
Private,10,42717.31,Bimonthly,Owned,8.3,No,1,Spouse,40,44115.58,Yes,No,Freelance,None,0,0
Private,53,19430.4,Biweekly,Rented,8.3,Yes,3,Sibling,85,29858.77,Yes,No,None,Savings,0,1
Public,85,31620.6,Weekly,Rented,1.5,Yes,4,Parent,52,28620.6,No,No,Freelance,Community Plan,0,0
Private,109,36183.83,Bimonthly,Owned,9.1,Yes,4,Friend,22,25541.9,No,No,Business,Savings,0,0
Private,20,39167.72,Monthly,Owned,4.0,No,5,Sibling,14,43792.23,Yes,No,None,None,0,1
Private,92,16957.15,Monthly,Rented,6.1,Yes,4,Spouse,77,21844.3,No,No,OFW Remittance,None,0,0
Private,12,44018.31,Bimonthly,Rented,3.2,No,0,Friend,71,41509.2,No,Yes,Freelance,Community Plan,0,0
Public,27,34258.34,Monthly,Rented,5.3,Yes,1,Spouse,53,24110.92,Yes,Yes,Business,Insurance,0,0
Public,110,39005.46,Monthly,Rented,7.9,No,4,Spouse,102,27498.85,Yes,Yes,Freelance,Savings,0,0
Public,87,41477.86,Monthly,Owned,8.8,Yes,2,Spouse,67,37896.48,Yes,Yes,None,Insurance,0,0
Private,62,26629.14,Biweekly,Owned,1.7,No,4,Spouse,36,29182.13,Yes,No,Business,Community Plan,0,0
Private,112,39085.45,Weekly,Owned,7.8,No,5,Parent,69,42145.03,Yes,Yes,Freelance,Community Plan,0,0
Private,84,30436.0,Bimonthly,Rented,2.8,Yes,3,Sibling,14,39743.77,No,No,OFW Remittance,Savings,0,0
Private,31,28240.37,Weekly,Owned,7.5,No,4,Friend,22,35154.06,Yes,No,Business,Savings,0,1
Public,55,36434.48,Monthly,Rented,3.7,No,0,Spouse,71,26256.65,Yes,Yes,None,Insurance,0,0
Private,34,29839.3,Biweekly,Rented,3.8,No,4,Parent,33,38468.78,Yes,Yes,OFW Remittance,Insurance,0,0
Public,118,34512.72,Bimonthly,Owned,5.0,No,2,Friend,114,31189.81,Yes,No,Business,None,0,0
Public,78,33491.4,Bimonthly,Rented,5.3,Yes,2,Spouse,45,32570.18,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,93,15469.58,Biweekly,Owned,4.4,No,3,Friend,21,21273.8,No,Yes,Business,Community Plan,0,1
Public,38,30847.9,Bimonthly,Owned,2.3,Yes,3,Parent,39,35053.5,No,No,Business,Savings,0,1
Private,81,40842.78,Weekly,Rented,2.8,Yes,1,Spouse,68,25362.27,No,Yes,Business,None,0,0
Private,96,30165.27,Bimonthly,Rented,7.6,No,2,Spouse,58,34231.9,Yes,No,OFW Remittance,Savings,0,0
Private,67,18073.4,Biweekly,Rented,0.2,No,0,Friend,67,44025.59,Yes,Yes,OFW Remittance,None,0,1
Private,82,42127.44,Bimonthly,Rented,0.3,No,3,Parent,20,23549.39,No,No,Business,Community Plan,0,0
Private,49,31671.54,Monthly,Rented,6.1,No,2,Friend,87,26688.33,Yes,Yes,OFW Remittance,Insurance,0,0
Private,47,29184.49,Bimonthly,Rented,8.4,Yes,5,Friend,25,33974.95,Yes,Yes,OFW Remittance,Savings,0,0
Private,90,38251.63,Bimonthly,Owned,5.8,Yes,0,Parent,25,17156.93,Yes,No,None,None,0,0
Private,82,22311.45,Biweekly,Owned,2.3,Yes,4,Parent,105,30377.54,Yes,No,None,Community Plan,0,1
Private,113,17595.77,Weekly,Rented,7.0,Yes,4,Friend,71,35129.01,Yes,Yes,OFW Remittance,None,0,0
Private,89,37371.68,Bimonthly,Rented,9.4,Yes,2,Parent,91,20775.13,No,No,Freelance,Community Plan,0,0
Private,105,18871.72,Monthly,Owned,3.4,Yes,4,Spouse,90,20363.31,Yes,No,Business,Insurance,0,1
Public,43,26589.07,Bimonthly,Owned,8.6,No,5,Spouse,114,18294.13,No,Yes,Business,Insurance,0,0
Private,13,18330.66,Monthly,Rented,9.1,No,3,Sibling,61,27102.46,No,Yes,OFW Remittance,Insurance,0,0
Public,13,34349.84,Monthly,Owned,5.5,Yes,0,Parent,29,30067.5,Yes,Yes,OFW Remittance,Insurance,0,0
Public,107,32112.58,Bimonthly,Owned,8.3,Yes,4,Sibling,64,26603.83,No,No,None,Community Plan,0,0
Public,16,41993.63,Bimonthly,Owned,8.0,Yes,0,Parent,74,30316.48,No,No,Business,Savings,0,0
Public,80,21066.01,Bimonthly,Owned,5.7,No,1,Spouse,96,33549.96,Yes,Yes,Freelance,Savings,0,0
Public,14,15263.7,Monthly,Owned,0.2,Yes,1,Spouse,80,44738.22,Yes,No,Business,Community Plan,0,0
Public,109,27874.63,Weekly,Owned,7.3,No,3,Parent,20,17588.03,No,Yes,Business,Community Plan,0,0
Private,105,39013.82,Biweekly,Owned,8.6,No,2,Parent,95,32264.68,No,No,Freelance,None,0,0
Public,53,18408.3,Weekly,Owned,4.3,No,4,Friend,93,30738.06,No,Yes,Business,Insurance,0,1
Private,13,29195.38,Bimonthly,Rented,7.9,Yes,0,Friend,78,41071.64,No,Yes,Business,Community Plan,0,1
Private,119,19646.82,Biweekly,Rented,7.4,Yes,5,Sibling,19,42712.6,Yes,Yes,None,Savings,0,0
Public,108,27406.17,Biweekly,Rented,7.6,Yes,3,Sibling,71,28981.88,Yes,No,None,Community Plan,0,0
Private,61,40372.49,Monthly,Owned,1.9,No,3,Friend,78,19309.93,No,No,Business,Savings,0,0
Private,111,39451.81,Biweekly,Rented,1.8,Yes,5,Parent,66,43452.01,No,Yes,None,None,0,0
Public,35,18108.9,Monthly,Owned,3.9,Yes,5,Sibling,19,26845.28,No,Yes,Business,None,0,0
Public,92,35819.01,Weekly,Rented,5.4,Yes,0,Parent,38,18612.46,Yes,Yes,Business,Insurance,0,0
Public,48,38536.66,Monthly,Owned,3.2,Yes,3,Spouse,73,42168.15,Yes,Yes,Freelance,Insurance,0,0
Private,114,38666.7,Weekly,Rented,2.4,Yes,4,Spouse,80,20073.32,No,Yes,OFW Remittance,Savings,0,0
Public,11,41377.54,Monthly,Rented,0.7,No,4,Sibling,95,29190.43,Yes,No,Freelance,Savings,0,1
Private,92,28307.86,Bimonthly,Rented,5.1,Yes,5,Spouse,16,17316.94,No,Yes,Freelance,Insurance,0,0
Public,11,42167.86,Biweekly,Rented,7.9,Yes,5,Spouse,66,21150.66,Yes,Yes,None,Savings,0,0
Private,67,25815.72,Monthly,Rented,2.8,No,0,Spouse,84,27677.38,Yes,Yes,Business,None,0,0
Public,107,20245.58,Monthly,Rented,9.4,No,1,Spouse,68,21214.32,Yes,Yes,OFW Remittance,Savings,0,0
Private,111,29239.9,Biweekly,Rented,3.8,No,4,Spouse,45,29248.54,Yes,Yes,OFW Remittance,Savings,0,0
Private,80,15731.58,Monthly,Rented,8.9,Yes,5,Parent,38,24749.96,No,Yes,OFW Remittance,Community Plan,0,0
Public,27,35671.95,Bimonthly,Owned,5.6,Yes,2,Sibling,81,25791.43,Yes,Yes,None,Insurance,0,0
Public,100,17266.29,Monthly,Rented,10.0,Yes,0,Spouse,64,39625.45,Yes,Yes,Business,Savings,0,0
Private,44,30907.57,Monthly,Owned,2.4,Yes,0,Sibling,58,18814.53,Yes,Yes,OFW Remittance,Savings,0,0
Private,87,28755.99,Biweekly,Owned,6.4,No,4,Sibling,114,42795.46,No,Yes,None,Insurance,0,0
Private,79,27858.77,Monthly,Owned,8.8,Yes,3,Sibling,109,41555.87,No,Yes,None,None,0,0
Public,81,33187.53,Bimonthly,Owned,2.3,No,1,Sibling,43,26166.74,Yes,No,Freelance,None,0,0
Private,29,16378.05,Biweekly,Owned,2.2,No,1,Sibling,20,24236.1,No,No,Business,Savings,0,0
Public,24,21967.13,Monthly,Owned,3.5,Yes,2,Sibling,62,32270.0,No,No,OFW Remittance,Savings,0,0
Public,22,20727.05,Bimonthly,Owned,0.2,No,3,Friend,49,44838.94,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,17,15535.33,Biweekly,Rented,1.7,Yes,4,Friend,34,44946.8,No,Yes,Freelance,Savings,0,1
Public,99,39082.64,Biweekly,Owned,9.4,Yes,0,Spouse,71,32649.42,No,No,Freelance,Insurance,0,0
Private,106,39934.69,Monthly,Owned,5.1,Yes,3,Sibling,17,21334.51,Yes,Yes,None,Community Plan,0,0
Private,61,22897.33,Monthly,Rented,6.7,No,1,Spouse,25,20530.08,No,Yes,OFW Remittance,Insurance,0,0
Public,41,39895.61,Biweekly,Rented,6.8,Yes,0,Sibling,29,43604.85,No,Yes,None,Savings,0,0
Private,16,21031.52,Bimonthly,Owned,4.8,No,3,Spouse,47,29619.04,No,Yes,Business,Savings,0,0
Public,10,44316.8,Weekly,Rented,0.4,No,1,Sibling,47,26680.56,Yes,No,Business,Community Plan,0,0
Private,42,16934.36,Monthly,Rented,8.7,Yes,4,Sibling,112,18973.45,Yes,Yes,OFW Remittance,Savings,0,0
Public,71,39693.32,Monthly,Rented,5.6,No,4,Friend,44,28387.22,Yes,No,None,Savings,0,0
Public,11,43342.56,Weekly,Rented,7.2,No,3,Parent,95,19652.66,No,Yes,OFW Remittance,Insurance,0,0
Private,29,28965.74,Monthly,Rented,9.7,No,1,Friend,27,33025.02,Yes,Yes,None,None,0,0
Private,11,35224.81,Monthly,Owned,3.9,Yes,4,Sibling,85,25788.0,Yes,No,None,None,0,0
Private,36,22414.52,Bimonthly,Rented,7.9,No,5,Friend,89,19298.08,No,No,None,Community Plan,0,1
Public,69,40946.46,Bimonthly,Rented,8.6,No,2,Sibling,73,29543.76,No,Yes,OFW Remittance,Savings,0,0
Private,47,27371.65,Weekly,Owned,2.6,No,5,Friend,28,19368.33,No,No,Freelance,None,0,0
Private,24,16670.95,Biweekly,Owned,4.4,Yes,5,Friend,61,43691.21,Yes,Yes,None,Savings,0,0
Private,10,20483.24,Biweekly,Rented,0.4,Yes,4,Sibling,49,16103.25,No,No,Freelance,Savings,0,0
Public,70,35339.7,Monthly,Rented,1.1,Yes,3,Friend,96,36937.81,Yes,No,None,Insurance,0,0
Private,21,29527.91,Weekly,Owned,4.6,Yes,5,Friend,12,18131.03,Yes,Yes,Freelance,Savings,0,0
Public,34,38972.69,Monthly,Rented,2.3,Yes,5,Parent,67,20181.72,No,Yes,OFW Remittance,Insurance,0,0
Public,79,32646.37,Biweekly,Owned,7.3,Yes,3,Spouse,91,42738.58,Yes,Yes,OFW Remittance,Savings,0,1
Public,51,28119.2,Bimonthly,Rented,9.9,Yes,3,Parent,45,22468.82,No,No,Business,Community Plan,0,0
Private,37,24156.01,Monthly,Rented,5.0,Yes,2,Parent,73,15928.3,No,Yes,Business,Community Plan,0,0
Public,62,32871.36,Monthly,Owned,3.9,No,2,Sibling,98,26971.01,Yes,No,Freelance,Community Plan,0,0
Private,109,28079.17,Biweekly,Rented,5.7,No,2,Spouse,18,18170.5,No,Yes,Freelance,None,0,0
Private,86,33641.72,Weekly,Owned,7.2,No,0,Parent,117,44404.44,No,Yes,Freelance,Insurance,0,0
Public,56,22070.77,Bimonthly,Owned,7.0,No,4,Spouse,73,22045.12,No,No,Freelance,Savings,0,0
Private,103,29631.58,Monthly,Owned,0.7,No,3,Friend,49,36553.7,No,Yes,None,None,0,0
Public,81,23029.89,Biweekly,Rented,5.8,Yes,0,Parent,46,26363.91,Yes,Yes,Freelance,Savings,0,1
Private,104,19052.19,Monthly,Owned,8.4,No,4,Spouse,88,16541.1,No,Yes,Business,Community Plan,0,0
Private,47,24103.14,Bimonthly,Owned,0.9,No,3,Parent,39,24062.01,Yes,No,Business,None,0,1
Public,102,25338.13,Monthly,Rented,4.5,No,2,Parent,47,23971.64,No,No,Freelance,Insurance,0,0
Public,57,44713.54,Biweekly,Rented,1.1,Yes,2,Sibling,97,23477.08,Yes,No,None,Community Plan,0,0
Public,59,36897.93,Weekly,Owned,7.1,No,1,Friend,91,38257.81,Yes,Yes,None,Community Plan,0,0
Public,36,19097.26,Biweekly,Rented,9.7,No,1,Parent,14,19493.49,Yes,Yes,None,Insurance,0,0
Private,90,25367.34,Weekly,Rented,7.0,No,1,Spouse,21,43337.59,No,No,None,Community Plan,0,0
Private,76,19019.96,Weekly,Owned,9.8,No,1,Sibling,48,34305.62,No,Yes,Business,None,0,0
Public,77,42723.04,Monthly,Rented,4.1,Yes,1,Sibling,55,22937.13,No,Yes,Freelance,Insurance,0,0
Public,116,35065.54,Biweekly,Owned,9.5,Yes,3,Parent,31,22468.43,No,Yes,Freelance,Community Plan,0,0
Private,46,27670.78,Biweekly,Rented,8.9,No,0,Sibling,62,39410.2,Yes,Yes,OFW Remittance,Savings,0,0
Public,47,20694.23,Monthly,Rented,0.1,No,5,Parent,42,39714.43,Yes,No,None,None,0,0
Private,58,33996.89,Monthly,Rented,7.8,No,0,Parent,101,34741.75,No,Yes,OFW Remittance,None,0,0
Public,31,22456.2,Weekly,Owned,8.7,Yes,3,Friend,90,43805.92,Yes,No,Business,Insurance,0,0
Public,112,44554.07,Monthly,Owned,3.7,No,2,Spouse,86,30514.13,Yes,No,Business,Savings,0,0
Private,93,43868.11,Monthly,Owned,2.1,No,5,Spouse,39,43650.23,Yes,Yes,None,Insurance,0,0
Private,109,31335.03,Biweekly,Owned,6.5,Yes,4,Spouse,31,35236.87,No,No,OFW Remittance,Savings,0,0
Private,102,31546.66,Biweekly,Rented,6.2,Yes,2,Sibling,104,41926.07,No,No,Business,None,0,0
