Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
Private,109,41641,Bi-Weekly,Owned,19,Yes,0,Parent,83,32714,Yes,Yes,OFW_Remittance,Insurance,1,0.0,1,0,0
Public,22,17619,Weekly,Rented,3,No,9,Friend,20,19675,No,No,None,Savings,0,0.75,6,1,1
Private,136,35101,Monthly,Owned,19,Yes,1,Parent,112,32779,Yes,Yes,OFW_Remittance,Savings,1,0.08,1,0,0
Public,156,35060,Monthly,Owned,29,Yes,0,Spouse,181,62421,No,Yes,OFW_Remittance,Savings,1,0.11,0,0,0
Public,5,14452,Bi-Weekly,Rented,2,No,7,Friend,6,16499,No,No,None,None,0,0.92,11,1,1
Private,169,28795,Monthly,Owned,16,No,2,Parent,156,40636,No,Yes,None,Insurance,1,0.05,0,0,0
Public,42,62171,Monthly,Owned,28,Yes,0,Spouse,116,64299,No,Yes,Business,Community Plan,1,0.08,2,1,0
Public,1,14865,Bi-Weekly,Rented,2,No,7,Friend,33,16864,No,Yes,None,None,0,0.94,10,1,1
Private,188,40891,Monthly,Owned,26,No,1,Spouse,85,40247,No,Yes,Business,Savings,1,0.08,1,0,0
Public,11,19488,Weekly,Rented,2,No,8,Friend,31,12248,No,No,None,None,0,0.62,5,0,1
Private,136,37654,Monthly,Rented,13,Yes,0,Sibling,159,70363,Yes,Yes,Business,Savings,1,0.2,2,0,0
Public,65,35973,Bi-Weekly,Rented,10,No,0,Sibling,205,47464,Yes,No,None,Insurance,0,0.09,2,0,0
Private,100,25341,Monthly,Rented,8,Yes,2,Parent,58,44175,Yes,Yes,Business,Insurance,1,0.25,0,0,0
Public,10,11322,Monthly,Rented,2,Yes,9,Friend,32,16600,No,No,None,None,0,0.82,10,1,1
Private,9,19521,Monthly,Rented,1,Yes,5,Friend,28,19918,No,No,None,Savings,0,0.63,11,0,1
Private,19,15776,Bi-Weekly,Rented,2,No,5,Friend,20,8287,No,No,None,Savings,0,0.59,8,1,1
Public,5,19346,Weekly,Rented,2,No,9,Friend,28,15283,Yes,No,None,None,1,0.59,8,0,1
Public,19,8988,Bi-Weekly,Rented,3,No,5,Friend,31,18137,Yes,Yes,None,None,0,0.62,11,1,1
Public,97,40278,Monthly,Owned,29,Yes,2,Spouse,48,37472,No,No,None,Insurance,1,0.19,2,1,0
Public,158,48004,Monthly,Owned,9,Yes,2,Parent,62,62493,Yes,Yes,None,Savings,1,0.03,2,0,0
Private,154,41027,Monthly,Owned,24,Yes,0,Spouse,190,75919,Yes,Yes,None,Community Plan,1,0.16,1,0,0
Public,197,38326,Monthly,Owned,29,No,0,Spouse,145,52204,Yes,Yes,Business,Insurance,1,0.19,1,0,0
Private,104,52091,Monthly,Owned,29,No,1,Spouse,216,63896,No,Yes,Business,Community Plan,0,0.08,1,0,0
Private,6,12756,Weekly,Owned,3,No,4,Sibling,32,12544,No,No,Freelance,None,0,0.82,10,1,1
Private,12,8406,Monthly,Rented,1,Yes,5,Friend,12,8356,No,No,None,Savings,0,0.73,6,1,1
Public,139,45288,Bi-Weekly,Owned,17,Yes,0,Spouse,152,32122,No,Yes,Business,Savings,1,0.08,2,1,0
Public,86,62427,Monthly,Owned,25,Yes,1,Spouse,130,56215,Yes,No,OFW_Remittance,Community Plan,0,0.13,1,0,0
Private,22,12699,Weekly,Rented,2,Yes,5,Friend,9,11368,No,No,None,None,0,0.64,10,0,1
Private,131,34397,Monthly,Rented,20,Yes,0,Spouse,164,70925,Yes,Yes,None,Savings,1,0.24,1,0,0
Public,75,69472,Monthly,Owned,9,Yes,2,Spouse,74,42643,Yes,Yes,OFW_Remittance,Insurance,1,0.13,2,1,0
Public,8,9868,Monthly,Rented,1,No,9,Sibling,27,12008,No,No,Freelance,None,0,0.61,9,1,1
Private,37,59223,Monthly,Owned,15,Yes,1,Parent,159,67648,Yes,No,Business,Community Plan,1,0.11,0,0,0
Public,68,25082,Bi-Weekly,Owned,18,Yes,1,Spouse,106,44431,Yes,No,Business,Insurance,1,0.11,0,0,0
Public,110,36499,Monthly,Rented,20,Yes,1,Spouse,56,42956,No,Yes,None,Community Plan,1,0.15,2,0,0
Private,83,40571,Monthly,Owned,12,Yes,2,Parent,179,63190,No,Yes,OFW_Remittance,Community Plan,1,0.06,1,0,0
Private,66,30118,Monthly,Rented,19,Yes,1,Spouse,182,39404,Yes,Yes,None,Savings,1,0.24,0,0,0
Public,57,32887,Bi-Weekly,Owned,17,Yes,2,Parent,140,44368,No,Yes,None,Insurance,1,0.16,0,0,0
Public,10,15786,Monthly,Rented,1,Yes,4,Friend,26,15083,No,Yes,Freelance,None,0,0.94,11,0,1
Public,49,65627,Monthly,Owned,8,No,1,Parent,175,77532,Yes,Yes,OFW_Remittance,Insurance,1,0.25,0,1,0
Private,134,52265,Bi-Weekly,Owned,10,No,0,Spouse,55,56189,Yes,Yes,Business,Savings,1,0.1,0,0,0
Public,129,61227,Bi-Weekly,Owned,20,No,0,Parent,73,58324,No,Yes,Business,Savings,0,0.09,2,0,0
Private,23,14414,Weekly,Rented,1,No,5,Sibling,24,14135,No,No,None,None,0,0.63,7,1,1
Private,121,58607,Monthly,Owned,6,Yes,0,Parent,53,75583,No,Yes,Business,Insurance,1,0.08,1,0,0
Private,5,12129,Bi-Weekly,Owned,3,No,5,Friend,24,20860,No,No,None,None,0,0.75,10,1,1
Public,55,53839,Bi-Weekly,Rented,19,Yes,2,Parent,132,35408,Yes,Yes,None,Insurance,0,0.05,1,0,0
Public,74,29150,Bi-Weekly,Owned,5,No,0,Spouse,136,49477,Yes,Yes,None,Insurance,1,0.21,2,0,0
Public,149,43728,Bi-Weekly,Owned,14,Yes,2,Spouse,166,33051,No,Yes,Business,Insurance,1,0.14,1,0,0
Private,91,31531,Monthly,Owned,15,No,1,Spouse,50,56134,No,Yes,Business,Community Plan,1,0.21,1,0,0
Private,148,28214,Monthly,Rented,24,Yes,1,Spouse,57,61467,No,Yes,OFW_Remittance,Insurance,1,0.23,1,0,0
Public,186,32467,Bi-Weekly,Owned,11,Yes,1,Parent,110,35071,Yes,Yes,OFW_Remittance,Savings,1,0.15,2,0,0
Private,7,19889,Monthly,Rented,3,Yes,5,Friend,34,13846,Yes,No,Freelance,None,0,0.78,10,1,1
Private,101,57529,Monthly,Owned,12,Yes,2,Spouse,71,60310,No,No,Business,Community Plan,1,0.17,0,1,0
Public,53,66101,Monthly,Rented,15,Yes,2,Parent,101,36726,Yes,Yes,OFW_Remittance,Insurance,1,0.06,1,0,0
Private,18,15489,Weekly,Rented,1,No,8,Friend,27,16562,No,Yes,None,Savings,0,0.56,10,0,1
Public,68,32004,Bi-Weekly,Owned,28,Yes,0,Sibling,67,66365,No,No,OFW_Remittance,Insurance,0,0.25,2,1,0
Public,199,58078,Bi-Weekly,Owned,17,Yes,2,Spouse,217,65985,No,Yes,Business,Insurance,1,0.12,2,0,0
Public,138,60194,Bi-Weekly,Owned,14,Yes,1,Spouse,73,55583,Yes,Yes,Business,Savings,0,0.04,1,0,0
Public,166,38458,Bi-Weekly,Owned,24,Yes,1,Parent,134,48085,Yes,Yes,OFW_Remittance,Insurance,1,0.14,0,0,0
Private,21,8210,Weekly,Owned,1,No,4,Friend,11,19508,No,No,None,None,0,0.85,8,1,1
Private,16,12158,Monthly,Rented,2,Yes,5,Friend,20,19050,Yes,No,Freelance,None,0,0.6,6,1,1
Private,115,61144,Monthly,Owned,24,Yes,0,Parent,161,30495,No,No,OFW_Remittance,Community Plan,1,0.22,2,0,0
Public,62,51233,Monthly,Owned,22,No,2,Spouse,161,56456,Yes,No,Business,Insurance,1,0.06,0,0,0
Private,16,16574,Bi-Weekly,Rented,3,No,4,Sibling,15,19433,Yes,No,None,None,0,0.8,11,1,1
Public,124,62323,Monthly,Owned,25,No,2,Spouse,165,67966,Yes,Yes,None,Community Plan,1,0.15,2,0,0
Private,62,44862,Monthly,Owned,17,Yes,2,Sibling,125,33250,Yes,Yes,OFW_Remittance,Insurance,0,0.03,1,0,0
Public,14,16032,Monthly,Rented,3,No,5,Friend,16,17392,No,No,None,None,0,0.64,7,1,1
Public,87,60562,Bi-Weekly,Rented,24,Yes,1,Parent,147,63596,Yes,Yes,Business,Community Plan,1,0.18,0,0,0
Private,60,38398,Monthly,Owned,13,No,1,Spouse,209,39780,No,Yes,OFW_Remittance,Insurance,1,0.14,2,0,0
Public,191,45914,Monthly,Owned,6,Yes,1,Sibling,198,42625,Yes,Yes,OFW_Remittance,Community Plan,1,0.06,2,0,0
Private,163,48335,Bi-Weekly,Owned,6,Yes,0,Spouse,184,53281,No,No,OFW_Remittance,Savings,0,0.15,1,0,0
Private,40,66709,Monthly,Rented,29,Yes,0,Parent,49,57692,Yes,Yes,Business,Insurance,1,0.13,2,1,0
Public,197,57533,Monthly,Owned,5,Yes,0,Spouse,60,42166,Yes,Yes,None,Insurance,1,0.24,2,0,0
Public,15,17291,Weekly,Rented,3,No,9,Friend,17,16880,No,Yes,None,None,0,0.71,9,1,1
Public,157,33944,Bi-Weekly,Owned,27,Yes,2,Spouse,89,55460,No,Yes,OFW_Remittance,Savings,1,0.13,0,0,0
Private,115,30449,Monthly,Rented,19,No,1,Spouse,191,39032,Yes,No,OFW_Remittance,Insurance,1,0.05,0,0,0
Public,192,68095,Monthly,Rented,11,Yes,0,Spouse,219,39150,Yes,Yes,Business,Savings,0,0.05,1,0,0
Public,13,17502,Weekly,Rented,3,No,9,Friend,30,18320,No,No,Freelance,None,0,0.63,10,0,1
Private,3,17795,Weekly,Rented,1,No,5,Friend,22,20186,No,No,None,None,0,0.62,6,1,1
Private,139,62354,Monthly,Owned,10,Yes,0,Parent,99,40867,No,Yes,OFW_Remittance,Insurance,1,0.03,1,0,0
Public,117,62782,Monthly,Rented,21,Yes,2,Spouse,50,65388,No,Yes,Business,Insurance,1,0.01,2,0,0
Private,14,8531,Bi-Weekly,Rented,1,No,3,Friend,24,21476,No,No,None,Savings,0,0.89,5,0,1
Private,21,10027,Weekly,Owned,3,No,3,Friend,20,12557,No,No,None,None,0,0.57,7,1,1
