Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,45,30960.02,Weekly,Owned,0.4,No,2,Spouse,44,40773.08,No,No,OFW Remittance,Community Plan,0,0
Private,37,17343.51,Monthly,Owned,2.2,No,5,Parent,56,20556.54,No,Yes,OFW Remittance,None,0,0
Private,87,16846.61,Weekly,Rented,7.3,No,4,Parent,28,34526.57,Yes,Yes,None,None,0,0
Public,25,17612.56,Weekly,Owned,5.4,No,0,Friend,63,28773.53,Yes,No,Freelance,Community Plan,0,0
Private,67,17273.56,Monthly,Rented,9.8,Yes,4,Parent,16,24901.94,Yes,No,Business,Insurance,0,1
Private,87,40315.91,Biweekly,Rented,9.9,Yes,4,Sibling,20,24357.06,Yes,Yes,None,Community Plan,0,0
Public,20,37445.79,Biweekly,Owned,3.3,Yes,2,Friend,73,18558.99,No,Yes,OFW Remittance,Insurance,0,0
Private,40,18119.52,Biweekly,Rented,3.2,No,4,Spouse,56,22353.99,No,No,Business,Savings,0,0
Private,81,28039.65,Bimonthly,Rented,5.1,No,5,Friend,120,36965.85,Yes,No,OFW Remittance,Community Plan,0,0
Public,95,17921.43,Biweekly,Rented,7.1,Yes,3,Friend,43,39669.57,No,Yes,Freelance,Insurance,0,1
Private,105,44191.01,Bimonthly,Owned,4.1,Yes,0,Sibling,16,25969.85,No,No,Freelance,None,0,0
Private,91,21281.57,Weekly,Rented,6.7,Yes,2,Spouse,10,35738.99,Yes,Yes,OFW Remittance,None,0,0
Private,120,17282.66,Bimonthly,Rented,8.9,No,4,Friend,22,15906.93,Yes,Yes,None,Savings,0,0
Private,55,33433.11,Weekly,Owned,7.3,No,5,Spouse,95,44789.74,Yes,No,None,None,0,0
Public,85,30363.45,Bimonthly,Rented,5.9,No,0,Parent,76,43665.13,Yes,Yes,Business,None,0,0
Private,32,41282.47,Monthly,Owned,7.0,No,0,Sibling,103,18050.99,Yes,No,None,Savings,0,0
Public,56,41776.33,Monthly,Rented,4.5,Yes,5,Spouse,92,43679.26,No,Yes,Business,Insurance,0,0
Private,58,18556.14,Monthly,Owned,7.0,Yes,1,Friend,56,28271.76,Yes,No,OFW Remittance,None,0,0
Private,50,39552.51,Bimonthly,Rented,8.6,No,5,Spouse,39,17939.86,Yes,Yes,Freelance,Savings,0,1
Private,17,27880.22,Bimonthly,Rented,6.2,Yes,5,Parent,89,33230.83,Yes,Yes,OFW Remittance,Savings,0,0
Public,68,25091.58,Monthly,Rented,9.9,No,0,Spouse,15,24386.88,Yes,No,None,Community Plan,0,0
Private,104,36014.99,Biweekly,Rented,2.7,Yes,1,Parent,20,16445.77,Yes,No,None,Savings,0,0
Public,116,43934.17,Weekly,Rented,1.2,No,2,Friend,112,36840.73,Yes,No,None,None,0,0
Public,79,42096.15,Monthly,Owned,2.1,Yes,3,Spouse,42,15319.22,No,No,Business,Insurance,0,0
Public,111,40350.94,Monthly,Rented,8.7,Yes,4,Sibling,119,25206.51,No,No,None,None,0,0
Public,117,41722.05,Monthly,Owned,9.3,No,3,Friend,11,35449.42,No,No,Business,Savings,0,0
Public,15,20973.2,Weekly,Rented,5.4,No,1,Parent,10,26046.36,No,No,Business,Savings,0,1
Private,35,22106.04,Bimonthly,Rented,6.4,No,2,Spouse,15,31082.81,No,Yes,Business,Insurance,0,0
Private,110,36863.09,Monthly,Rented,5.3,Yes,4,Spouse,97,38897.84,Yes,Yes,None,Insurance,0,0
Private,65,39502.09,Weekly,Owned,7.1,Yes,5,Sibling,117,26508.19,No,Yes,Business,None,0,0
Public,69,23028.37,Monthly,Rented,3.7,Yes,1,Parent,116,33401.53,Yes,No,Freelance,None,0,0
Public,9,43262.49,Weekly,Owned,6.1,Yes,1,Parent,46,36398.17,No,Yes,Business,Community Plan,0,1
Private,107,30142.89,Monthly,Owned,4.2,No,1,Sibling,52,34461.05,Yes,No,OFW Remittance,Community Plan,0,0
Public,72,22533.82,Monthly,Owned,5.3,Yes,5,Spouse,80,16451.48,No,Yes,Business,Savings,0,0
Public,100,43451.18,Weekly,Owned,2.8,No,3,Friend,56,28541.8,Yes,Yes,Business,None,0,0
Public,86,22905.46,Weekly,Rented,0.7,No,2,Parent,52,35743.62,Yes,Yes,Business,Savings,0,0
Private,112,35190.74,Weekly,Rented,0.7,Yes,4,Sibling,47,28646.78,No,No,Freelance,None,0,1
Private,52,27665.57,Biweekly,Rented,5.1,No,3,Spouse,99,23079.61,No,Yes,Business,Community Plan,0,0
Private,61,43959.36,Weekly,Owned,1.4,Yes,0,Sibling,38,31034.53,Yes,Yes,OFW Remittance,None,0,0
Private,41,41763.4,Bimonthly,Owned,5.1,Yes,4,Spouse,95,34782.03,No,No,OFW Remittance,Savings,0,0
Private,77,19316.93,Weekly,Rented,9.2,Yes,5,Friend,22,44208.62,Yes,No,None,Savings,0,1
Public,111,39726.11,Biweekly,Rented,4.3,No,2,Friend,71,29832.9,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,60,16525.59,Weekly,Rented,4.3,Yes,4,Friend,100,21273.9,No,Yes,OFW Remittance,Savings,0,0
Private,74,29047.15,Weekly,Rented,0.7,Yes,4,Spouse,26,24008.0,No,Yes,OFW Remittance,Savings,0,0
Private,94,24404.99,Monthly,Owned,3.1,No,5,Parent,24,26553.69,No,No,Freelance,Savings,0,0
Public,79,43576.21,Biweekly,Rented,7.0,No,0,Spouse,15,33774.99,Yes,No,None,Savings,0,0
Public,76,22654.01,Weekly,Owned,8.0,Yes,0,Friend,114,16077.02,Yes,No,Business,Insurance,0,1
Public,27,35139.35,Bimonthly,Rented,8.4,No,4,Sibling,14,31262.7,No,No,Freelance,None,0,0
Public,117,40897.14,Monthly,Rented,4.9,Yes,0,Sibling,111,41319.21,Yes,No,Business,None,0,0
Public,74,16094.58,Weekly,Owned,8.2,Yes,0,Friend,103,40329.45,Yes,Yes,Business,None,0,0
Private,10,42588.62,Biweekly,Owned,8.1,Yes,0,Sibling,101,16633.46,Yes,Yes,Freelance,Community Plan,0,0
Private,17,37489.98,Biweekly,Rented,0.4,No,4,Friend,34,40401.06,No,Yes,Business,Savings,0,0
Private,12,44201.98,Bimonthly,Owned,0.7,Yes,5,Parent,64,44841.31,No,Yes,OFW Remittance,None,0,0
Public,89,33809.38,Monthly,Rented,9.4,Yes,0,Spouse,108,16237.87,Yes,No,Business,Insurance,0,0
Public,62,15396.51,Monthly,Rented,0.2,No,1,Sibling,106,44984.84,Yes,Yes,Freelance,Community Plan,0,0
Private,25,37153.0,Bimonthly,Owned,6.2,No,1,Spouse,98,23389.03,No,Yes,Freelance,None,0,0
Public,62,34141.98,Bimonthly,Rented,6.9,Yes,0,Spouse,111,34154.7,Yes,Yes,OFW Remittance,None,0,0
Public,53,25486.58,Bimonthly,Owned,5.3,Yes,5,Spouse,84,24121.16,Yes,Yes,Business,Insurance,0,0
Public,32,26516.1,Weekly,Rented,6.0,No,0,Parent,32,41470.08,No,Yes,Business,None,0,0
Public,108,37873.73,Monthly,Rented,9.1,No,5,Spouse,109,18023.9,Yes,Yes,OFW Remittance,None,0,0
Public,21,34498.87,Monthly,Rented,2.7,Yes,1,Parent,17,15038.25,Yes,Yes,None,Insurance,0,0
Public,46,17003.6,Monthly,Rented,5.3,No,2,Spouse,26,41856.36,Yes,Yes,Freelance,Savings,0,0
Public,87,37194.41,Bimonthly,Rented,0.8,Yes,0,Friend,83,38205.82,Yes,No,Business,None,0,0
Public,77,34573.73,Monthly,Rented,2.8,Yes,0,Spouse,56,39946.85,Yes,No,Business,Savings,0,0
Public,106,30816.9,Weekly,Owned,2.1,No,0,Parent,54,24520.15,No,No,None,None,0,0
Private,22,17518.75,Bimonthly,Rented,3.0,No,2,Sibling,67,32204.09,No,No,Freelance,Community Plan,0,0
Private,86,40710.8,Weekly,Owned,3.4,No,2,Parent,58,34114.21,Yes,Yes,Freelance,Insurance,0,0
Public,111,25920.13,Bimonthly,Rented,7.3,Yes,5,Parent,16,32637.85,Yes,No,Business,Insurance,0,1
Public,88,26874.31,Weekly,Rented,1.1,No,3,Friend,90,38913.66,Yes,No,Freelance,Savings,0,0
Private,17,37807.24,Bimonthly,Owned,6.2,No,3,Spouse,85,33683.1,Yes,Yes,Freelance,Insurance,0,0
Public,101,17247.24,Bimonthly,Owned,8.8,No,5,Friend,24,26616.46,Yes,Yes,None,Insurance,0,0
Private,23,23770.04,Monthly,Owned,0.6,Yes,5,Friend,20,26336.43,No,No,OFW Remittance,Community Plan,0,1
Public,62,34870.59,Weekly,Rented,6.8,No,0,Spouse,42,35205.88,No,No,OFW Remittance,Savings,0,0
Private,104,19300.21,Weekly,Owned,6.7,No,1,Spouse,69,44545.92,No,No,Freelance,Insurance,0,0
Private,35,34033.86,Monthly,Rented,8.4,No,2,Spouse,117,44069.98,No,No,Business,Savings,0,0
Private,94,35963.91,Weekly,Owned,2.8,No,1,Sibling,86,26044.97,Yes,Yes,None,Community Plan,0,0
Private,39,37243.41,Weekly,Rented,1.0,Yes,3,Spouse,84,32913.54,Yes,Yes,None,Savings,0,0
Private,12,36066.19,Weekly,Owned,7.9,No,5,Parent,76,36292.84,No,Yes,Business,None,0,0
Public,84,21560.34,Biweekly,Rented,4.5,Yes,4,Parent,47,39778.88,Yes,No,Business,Savings,0,0
Public,112,29364.39,Bimonthly,Owned,2.5,Yes,4,Friend,85,26205.51,No,Yes,None,Community Plan,0,0
Private,104,24712.24,Monthly,Rented,2.9,Yes,4,Parent,10,41910.81,No,No,None,None,0,1
Public,28,20560.6,Monthly,Owned,7.7,Yes,5,Spouse,57,16987.31,No,Yes,OFW Remittance,Insurance,0,1
Private,66,23622.18,Biweekly,Rented,2.4,Yes,2,Parent,22,17127.71,No,Yes,Freelance,Community Plan,0,0
Private,59,30663.39,Bimonthly,Rented,9.7,Yes,2,Parent,93,41222.35,No,No,Business,Savings,0,0
Public,11,37075.41,Monthly,Rented,9.5,No,5,Parent,97,17998.55,Yes,No,Business,Insurance,0,1
Private,85,23941.74,Bimonthly,Owned,9.2,No,5,Spouse,87,31669.55,No,Yes,OFW Remittance,Community Plan,0,0
Public,67,23536.19,Weekly,Owned,2.0,No,0,Sibling,33,21401.48,No,No,Freelance,Savings,0,0
Public,109,26411.18,Weekly,Owned,5.4,No,1,Spouse,69,24740.79,No,Yes,Business,Insurance,0,1
Private,9,29167.21,Bimonthly,Owned,6.0,No,4,Sibling,55,35669.38,No,Yes,OFW Remittance,None,0,0
Public,16,34941.04,Bimonthly,Rented,6.7,No,4,Parent,119,28165.44,Yes,No,Freelance,None,0,1
Private,101,29794.73,Biweekly,Owned,6.9,Yes,3,Friend,19,41317.58,Yes,Yes,Business,Community Plan,0,0
Private,44,21608.4,Monthly,Rented,6.2,Yes,3,Parent,101,39587.16,No,No,Business,Savings,0,0
Private,7,41389.59,Monthly,Rented,1.0,No,1,Sibling,83,17316.69,No,Yes,Freelance,Savings,0,0
Public,100,23495.59,Monthly,Owned,7.3,No,0,Parent,43,25840.31,No,No,None,Community Plan,0,0
Private,104,29379.68,Monthly,Rented,3.3,Yes,4,Sibling,100,39769.35,Yes,No,None,Savings,0,0
Public,16,22937.34,Monthly,Rented,2.7,Yes,3,Parent,19,20101.8,Yes,Yes,None,Insurance,0,0
Public,56,18257.41,Biweekly,Rented,7.0,Yes,0,Parent,87,39031.39,Yes,No,Business,Insurance,0,0
Public,95,33640.42,Bimonthly,Owned,3.0,Yes,0,Spouse,68,17375.86,No,Yes,None,Community Plan,0,0
Private,16,31132.2,Weekly,Rented,0.9,Yes,0,Spouse,85,43537.01,Yes,Yes,None,Savings,0,0
Private,80,23510.57,Monthly,Owned,7.9,Yes,3,Sibling,80,44950.64,No,Yes,Freelance,Community Plan,0,0
Public,73,36385.7,Biweekly,Owned,9.5,Yes,2,Friend,42,42006.34,No,Yes,None,Savings,0,0
Public,112,41113.77,Weekly,Rented,0.7,No,0,Parent,83,28877.87,No,Yes,Freelance,None,0,0
Public,68,33320.75,Monthly,Rented,1.5,Yes,0,Parent,16,24522.03,No,No,None,Community Plan,0,0
Private,51,26752.17,Monthly,Rented,8.4,No,4,Spouse,34,19883.3,Yes,Yes,Freelance,None,0,0
Private,52,43605.14,Bimonthly,Owned,9.2,No,0,Spouse,119,21882.25,Yes,Yes,Business,Insurance,0,0
Public,34,42186.92,Biweekly,Owned,8.6,Yes,4,Sibling,33,24799.19,No,No,Business,Savings,0,0
Public,114,19662.99,Monthly,Rented,3.7,No,0,Parent,111,23335.98,Yes,No,Business,Savings,0,0
Private,57,16290.0,Monthly,Rented,5.1,No,2,Spouse,62,20176.83,Yes,Yes,None,None,0,0
Public,117,16686.59,Bimonthly,Rented,6.8,No,3,Friend,19,44679.25,No,No,None,Community Plan,0,0
Public,111,36063.56,Weekly,Owned,3.0,Yes,4,Parent,56,38026.92,Yes,No,None,None,0,0
Public,92,33831.33,Biweekly,Owned,8.5,Yes,5,Friend,96,24443.48,No,Yes,Freelance,Community Plan,0,0
Public,74,40217.88,Biweekly,Owned,1.7,Yes,5,Spouse,86,32802.17,Yes,No,None,Insurance,0,0
Private,42,39958.44,Bimonthly,Rented,3.7,No,3,Spouse,110,18432.99,No,No,None,None,0,0
Public,113,35628.1,Monthly,Owned,0.2,No,2,Friend,39,38533.95,Yes,No,OFW Remittance,Savings,0,0
Private,51,26850.39,Bimonthly,Owned,5.0,Yes,4,Sibling,20,38186.53,Yes,Yes,OFW Remittance,Insurance,0,0
Private,116,15443.51,Biweekly,Owned,8.8,No,5,Parent,108,20615.42,Yes,Yes,Freelance,None,0,0
Private,100,26502.19,Biweekly,Rented,3.4,Yes,0,Sibling,75,16593.29,No,Yes,OFW Remittance,Savings,0,0
Public,28,17501.41,Bimonthly,Owned,9.1,Yes,1,Sibling,60,44565.46,No,Yes,OFW Remittance,Insurance,0,0
Private,115,15108.81,Weekly,Rented,8.6,No,0,Friend,19,27612.89,Yes,No,Business,Community Plan,0,0
Private,49,32237.41,Biweekly,Rented,8.1,No,3,Friend,17,35214.76,No,Yes,Business,Community Plan,0,0
Private,81,40086.43,Biweekly,Owned,1.6,No,1,Sibling,113,32597.51,No,Yes,None,Community Plan,0,0
Private,104,35003.05,Bimonthly,Owned,6.8,No,0,Sibling,105,26692.53,No,Yes,None,Community Plan,0,0
Private,68,15744.55,Monthly,Rented,4.6,No,1,Parent,102,39503.65,No,Yes,Freelance,Insurance,0,0
Private,7,40677.01,Biweekly,Owned,6.1,Yes,3,Friend,60,32721.78,Yes,Yes,None,None,0,0
Public,107,33787.25,Bimonthly,Owned,9.1,No,5,Parent,65,28111.59,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,89,33519.35,Monthly,Owned,7.7,Yes,5,Friend,43,16053.48,No,No,None,Savings,0,0
Public,56,19192.9,Biweekly,Rented,4.4,No,5,Friend,15,19971.73,Yes,No,Freelance,Insurance,0,1
Public,62,39190.95,Weekly,Owned,8.0,Yes,0,Parent,44,21009.61,No,No,None,Insurance,0,0
Private,17,40955.74,Monthly,Rented,1.6,No,1,Parent,40,21942.2,Yes,Yes,Freelance,None,0,0
Public,13,26433.14,Biweekly,Owned,4.4,No,2,Sibling,34,21186.18,Yes,Yes,Business,Community Plan,0,0
Public,22,16374.86,Bimonthly,Rented,9.7,No,3,Parent,70,38818.66,No,No,Freelance,Insurance,0,0
Private,67,27688.38,Monthly,Owned,8.3,No,5,Friend,108,43055.23,Yes,Yes,Freelance,Community Plan,0,0
Private,22,26455.67,Monthly,Rented,4.9,No,1,Parent,115,40326.13,Yes,Yes,Freelance,None,0,0
Public,51,34803.04,Bimonthly,Rented,2.6,Yes,5,Friend,109,25565.95,No,Yes,Freelance,Insurance,0,0
Public,75,44275.05,Weekly,Owned,0.2,No,4,Parent,39,21146.68,No,Yes,Business,None,0,0
Public,88,27998.8,Monthly,Rented,8.6,No,3,Spouse,11,41375.65,Yes,No,Business,Savings,0,0
Public,104,31888.48,Weekly,Owned,2.2,No,1,Sibling,116,31629.95,No,No,Business,Community Plan,0,0
Public,73,41218.67,Biweekly,Rented,1.1,No,2,Parent,99,28988.47,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,80,25564.73,Bimonthly,Rented,6.2,No,1,Friend,112,42138.44,No,No,None,Insurance,0,0
Public,92,20368.03,Biweekly,Owned,2.9,Yes,1,Spouse,80,38786.71,Yes,No,Freelance,Community Plan,0,0
Private,82,37245.55,Bimonthly,Rented,7.1,No,5,Spouse,39,28287.16,No,Yes,OFW Remittance,Insurance,0,0
Private,95,27694.18,Biweekly,Rented,6.2,No,0,Spouse,77,20713.8,No,No,Freelance,Community Plan,0,0
Private,73,16343.22,Weekly,Rented,9.8,Yes,3,Friend,102,17314.25,Yes,Yes,Freelance,Insurance,0,0
Public,16,23710.01,Biweekly,Rented,7.2,No,5,Friend,97,18080.62,No,Yes,Freelance,None,0,1
Private,61,23617.5,Weekly,Rented,0.6,Yes,5,Parent,56,39981.62,Yes,Yes,Business,None,0,0
Private,32,41707.24,Bimonthly,Owned,5.1,No,2,Spouse,19,40508.03,Yes,Yes,Business,Insurance,0,0
Private,72,35673.65,Biweekly,Owned,5.8,Yes,4,Sibling,54,34253.48,No,Yes,Business,Savings,0,0
Public,94,33349.48,Weekly,Rented,7.8,No,3,Sibling,97,27715.71,No,Yes,Freelance,Community Plan,0,0
Private,79,35080.4,Monthly,Rented,3.4,Yes,0,Friend,92,22979.39,No,Yes,Freelance,Savings,0,0
Public,55,42964.19,Bimonthly,Owned,7.8,No,5,Spouse,31,21798.53,Yes,No,None,Community Plan,0,0
Private,69,22724.6,Monthly,Owned,7.5,Yes,0,Sibling,58,17595.72,Yes,Yes,Business,Community Plan,0,0
Private,95,38873.06,Monthly,Owned,8.8,Yes,2,Parent,119,32101.01,Yes,No,OFW Remittance,Savings,0,0
Public,88,36750.91,Weekly,Rented,8.8,No,0,Friend,27,25024.81,No,No,None,Insurance,0,0
Private,72,44257.07,Bimonthly,Owned,8.2,No,5,Sibling,29,37776.57,Yes,Yes,Freelance,None,0,0
Public,86,32184.8,Monthly,Owned,1.8,Yes,4,Spouse,59,16882.11,Yes,No,OFW Remittance,None,0,0
Private,75,38506.71,Biweekly,Rented,4.9,No,5,Sibling,63,33375.18,No,Yes,None,Insurance,0,0
Private,43,20757.73,Monthly,Rented,6.3,Yes,4,Friend,44,38925.04,Yes,Yes,OFW Remittance,Savings,0,0
Public,72,15187.81,Bimonthly,Rented,9.9,No,1,Sibling,63,22252.15,No,Yes,OFW Remittance,Savings,0,0
Public,88,35026.18,Bimonthly,Owned,0.5,Yes,0,Sibling,92,31699.65,Yes,No,Business,Savings,0,0
Private,113,18483.88,Monthly,Rented,9.5,Yes,3,Spouse,45,21740.22,Yes,Yes,None,Insurance,0,0
Public,104,19455.77,Monthly,Owned,6.9,Yes,3,Friend,67,34121.93,No,No,Business,Community Plan,0,0
Private,75,33081.0,Weekly,Rented,2.1,Yes,1,Friend,76,43815.07,Yes,No,OFW Remittance,Savings,0,0
Private,82,29702.15,Monthly,Owned,9.4,No,4,Spouse,55,41312.79,Yes,No,Freelance,Insurance,0,0
Private,95,20293.32,Biweekly,Owned,8.7,No,2,Parent,114,15868.66,Yes,Yes,Freelance,None,0,0
Private,55,35402.33,Bimonthly,Owned,1.5,Yes,5,Sibling,58,39335.12,No,Yes,OFW Remittance,Community Plan,0,0
Public,81,25325.72,Weekly,Rented,3.0,Yes,2,Spouse,39,26772.01,No,Yes,None,Community Plan,0,0
Public,56,42709.04,Bimonthly,Owned,6.3,Yes,0,Sibling,63,26484.59,Yes,Yes,Business,Insurance,0,0
Private,102,25326.79,Weekly,Rented,7.8,Yes,2,Sibling,89,42208.3,No,No,Business,None,0,0
Private,93,15739.94,Weekly,Rented,2.7,Yes,1,Spouse,93,34321.16,Yes,Yes,Business,Savings,0,1
Private,8,40497.45,Weekly,Rented,2.2,Yes,1,Parent,103,22209.85,No,Yes,OFW Remittance,Savings,0,1
Public,61,19732.19,Monthly,Rented,1.1,Yes,2,Sibling,41,18621.31,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,17,24943.85,Monthly,Rented,6.6,No,2,Parent,45,15830.32,No,No,None,Community Plan,0,0
Public,35,38890.71,Bimonthly,Rented,5.7,No,5,Parent,30,38188.34,Yes,No,Business,None,0,0
Public,111,35643.36,Monthly,Owned,1.3,Yes,5,Spouse,52,27354.12,No,No,OFW Remittance,None,0,0
Public,114,32158.99,Weekly,Rented,7.9,No,0,Sibling,57,32749.66,No,Yes,OFW Remittance,Community Plan,0,0
Private,41,17999.21,Biweekly,Owned,6.0,Yes,4,Spouse,24,29835.25,No,Yes,Freelance,Insurance,0,1
Private,68,25928.26,Biweekly,Owned,6.4,No,4,Parent,49,32498.26,Yes,Yes,None,Insurance,0,0
Public,13,18826.6,Weekly,Rented,8.7,Yes,4,Parent,72,42477.8,Yes,No,Freelance,Community Plan,0,0
Private,36,41402.96,Biweekly,Rented,5.3,No,4,Friend,93,33525.56,Yes,Yes,None,Community Plan,0,0
Private,88,36790.27,Bimonthly,Owned,4.8,Yes,2,Sibling,27,41724.37,Yes,Yes,None,None,0,0
Public,10,42695.7,Bimonthly,Owned,7.4,No,1,Parent,63,27060.86,No,Yes,None,Savings,0,0
Private,18,41916.45,Biweekly,Rented,1.4,Yes,3,Sibling,89,29330.31,No,Yes,Business,Savings,0,0
Private,16,43150.16,Biweekly,Owned,9.1,Yes,0,Spouse,42,43475.04,No,Yes,Freelance,Insurance,0,0
Public,97,35029.95,Weekly,Rented,2.6,No,5,Parent,37,41513.58,No,Yes,Business,Community Plan,0,0
Private,68,39832.09,Biweekly,Rented,0.2,No,5,Parent,28,39957.7,Yes,Yes,Business,Community Plan,0,0
Public,64,16413.8,Monthly,Owned,4.4,Yes,3,Parent,49,33943.62,No,No,OFW Remittance,Savings,0,0
Public,108,28575.87,Monthly,Owned,4.9,Yes,4,Parent,65,29939.17,No,Yes,OFW Remittance,None,0,0
Private,12,23083.45,Biweekly,Owned,8.5,No,1,Sibling,73,17129.6,Yes,Yes,Business,Insurance,0,0
Public,102,28822.3,Monthly,Rented,7.5,Yes,3,Parent,110,17148.63,No,Yes,Business,Savings,0,0
Private,6,33422.56,Bimonthly,Rented,1.2,Yes,3,Parent,97,26555.64,No,Yes,None,None,0,0
Public,18,30942.85,Bimonthly,Owned,3.1,Yes,1,Sibling,91,40023.48,No,Yes,None,Savings,0,0
Public,51,37501.88,Biweekly,Rented,5.5,Yes,0,Sibling,38,39701.47,No,No,Business,None,0,0
Private,82,18196.76,Weekly,Owned,6.2,Yes,0,Parent,11,42551.19,Yes,Yes,None,None,0,0
Private,13,44477.84,Bimonthly,Owned,7.4,Yes,0,Parent,57,43180.83,Yes,Yes,None,Community Plan,0,0
Private,115,20919.93,Weekly,Rented,0.8,No,0,Spouse,51,23673.25,No,No,Business,Community Plan,0,0
Public,59,18669.05,Monthly,Owned,5.9,No,5,Spouse,43,23628.03,Yes,Yes,Freelance,Community Plan,0,0
Private,44,31492.21,Bimonthly,Owned,7.8,No,3,Sibling,98,16357.39,Yes,Yes,Business,Community Plan,0,0
Public,86,41035.47,Bimonthly,Owned,2.7,No,2,Spouse,71,15064.48,No,No,Freelance,Insurance,0,0
Private,47,41224.67,Monthly,Owned,4.9,Yes,4,Friend,109,38342.06,No,Yes,OFW Remittance,Community Plan,0,0
Private,51,34356.73,Monthly,Rented,3.9,Yes,2,Sibling,48,43331.79,No,Yes,Freelance,Savings,0,0
Private,13,27173.79,Monthly,Rented,5.1,Yes,2,Spouse,77,27979.22,Yes,Yes,Business,None,0,0
Private,104,43456.71,Weekly,Owned,5.6,No,0,Friend,71,29399.32,Yes,Yes,None,Savings,0,0
Private,57,40916.43,Weekly,Rented,6.5,No,1,Spouse,81,43207.42,No,No,Business,Community Plan,0,0
Public,40,28359.91,Bimonthly,Rented,3.7,Yes,4,Spouse,48,24382.52,No,Yes,Business,Savings,0,0
Private,24,20367.96,Monthly,Rented,7.4,Yes,0,Parent,113,23715.46,No,Yes,OFW Remittance,Community Plan,0,0
Private,80,19286.89,Bimonthly,Rented,0.5,Yes,2,Sibling,110,41204.58,Yes,No,Freelance,Community Plan,0,0
Public,25,28926.62,Weekly,Owned,2.2,No,1,Friend,82,36763.01,No,No,None,Community Plan,0,0
Private,52,29328.41,Biweekly,Owned,8.2,No,4,Spouse,68,27915.87,Yes,Yes,Freelance,Insurance,0,0
Private,97,17850.27,Biweekly,Owned,9.8,Yes,5,Friend,42,38315.62,Yes,No,None,Community Plan,0,0
Public,18,27906.63,Bimonthly,Rented,0.2,Yes,0,Parent,116,29013.25,Yes,No,Freelance,Community Plan,0,0
Private,57,32106.17,Monthly,Owned,6.9,Yes,1,Sibling,12,20579.85,Yes,Yes,Freelance,None,0,0
Public,25,34706.64,Bimonthly,Owned,6.8,No,5,Parent,109,40796.77,No,No,OFW Remittance,None,0,0
Private,62,39310.25,Biweekly,Owned,7.5,Yes,3,Parent,74,27346.28,Yes,No,OFW Remittance,Savings,0,0
Public,44,22211.16,Biweekly,Rented,3.6,No,5,Parent,14,20902.3,No,Yes,Business,Insurance,0,0
Public,75,37592.63,Bimonthly,Owned,5.2,No,0,Parent,18,42626.32,Yes,Yes,None,Community Plan,0,0
Private,74,30594.49,Bimonthly,Owned,0.9,Yes,1,Friend,111,44422.84,Yes,Yes,Business,None,0,0
Private,57,32980.28,Weekly,Owned,6.8,No,3,Sibling,19,29037.32,Yes,Yes,OFW Remittance,None,0,0
Public,71,31267.51,Bimonthly,Rented,6.1,No,1,Sibling,90,24043.47,No,No,None,None,0,1
Public,26,26422.2,Weekly,Rented,7.5,Yes,5,Spouse,86,15685.99,No,Yes,OFW Remittance,Community Plan,0,0
Public,83,32107.76,Weekly,Rented,8.3,No,3,Spouse,76,33268.48,No,Yes,Business,Community Plan,0,0
Public,117,22296.0,Biweekly,Owned,3.9,Yes,3,Sibling,119,42146.16,Yes,No,Business,Savings,0,0
Private,54,22639.79,Weekly,Rented,7.2,Yes,2,Spouse,115,19072.0,Yes,No,OFW Remittance,Savings,0,1
Private,27,34308.28,Biweekly,Rented,6.0,No,0,Friend,69,28411.56,No,No,OFW Remittance,Insurance,0,0
Private,101,19360.28,Weekly,Rented,5.1,No,3,Parent,17,41639.27,No,No,Business,Savings,0,0
Private,116,42321.79,Monthly,Rented,9.9,Yes,5,Parent,62,29372.73,Yes,No,Freelance,None,0,0
Public,13,27512.38,Bimonthly,Rented,10.0,No,3,Sibling,86,16406.26,Yes,Yes,None,Insurance,0,0
Private,91,38285.39,Monthly,Owned,8.5,Yes,2,Sibling,72,21975.37,No,Yes,OFW Remittance,Savings,0,0
Private,118,42717.82,Monthly,Owned,6.0,Yes,1,Spouse,18,22233.06,Yes,Yes,Freelance,Insurance,0,1
Private,77,42414.23,Weekly,Rented,8.0,No,1,Parent,98,44775.58,Yes,Yes,Business,Insurance,0,0
Public,74,15104.63,Weekly,Rented,9.9,Yes,4,Spouse,48,40379.21,No,No,None,Savings,0,0
Private,101,26529.61,Bimonthly,Owned,5.9,Yes,4,Parent,70,37088.23,No,Yes,Freelance,None,0,0
Public,58,38350.33,Biweekly,Owned,8.0,No,0,Spouse,88,33084.27,Yes,No,OFW Remittance,Community Plan,0,0
Public,75,38542.85,Weekly,Owned,4.4,No,2,Friend,34,20682.84,No,Yes,Freelance,None,0,0
Public,98,43991.31,Monthly,Rented,8.0,Yes,5,Sibling,104,35154.76,No,Yes,None,None,0,0
