Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Emp_Tenure,Comaker_Net_Salary,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,87.89834,38662.84,Bimonthly,Owned,3.4360144,No,2.7065725,Friend,0.10591492,0.99997836,Leader,Frequently,Business,Community Plan,-0.07975569,0.06963307
Private,83.91919,41418.965,Bimonthly,Owned,3.603579,No,2.866833,Friend,-0.14951234,0.9999793,Leader,Frequently,Business,Community Plan,0.124517925,0.116894595
Private,80.38535,37457.625,Bimonthly,Owned,3.5345094,No,2.8276515,Friend,0.15218061,0.9999349,Leader,Frequently,Business,Community Plan,0.040828735,0.012981628
Private,76.4404,37879.027,Bimonthly,Owned,3.820754,No,2.7835836,Friend,-0.16931467,0.99999243,Leader,Frequently,Business,Community Plan,-0.006222455,0.06793356
Private,81.52798,38108.527,Bimonthly,Owned,3.6087303,No,2.7120876,Friend,-0.21983038,0.99996954,Leader,Frequently,Business,Community Plan,0.0021142946,0.18157288
Private,77.50585,38418.58,Bimonthly,Owned,3.5029535,No,2.5217881,Friend,0.11325851,0.9999956,Leader,Frequently,Business,Community Plan,0.060285296,-0.15087242
Private,81.760124,39559.668,Bimonthly,Owned,3.5524797,No,2.8387218,Friend,0.13581471,0.99990296,Leader,Frequently,Business,Community Plan,-0.00043229407,-0.021720205
Private,85.7911,37010.117,Bimonthly,Owned,3.7027032,No,2.9089692,Friend,-0.012677598,0.99991745,Leader,Frequently,Business,Community Plan,0.13682418,-0.0017235923
Private,89.79992,37383.15,Bimonthly,Owned,3.6503274,No,2.6129375,Friend,-0.12181678,0.9999831,Leader,Frequently,Business,Community Plan,0.07638659,0.02880423
Private,80.13862,35821.93,Bimonthly,Owned,3.4961123,No,2.7808266,Friend,0.12972836,0.9999826,Leader,Frequently,Business,Community Plan,0.02083633,-0.028493214
Private,82.38772,37580.17,Bimonthly,Owned,3.5962238,No,2.6040626,Friend,-0.027231144,0.99994546,Leader,Frequently,Business,Community Plan,0.064025946,0.08244966
Private,81.36062,40028.434,Bimonthly,Owned,3.265415,No,2.6756148,Friend,0.018207181,0.9999787,Leader,Frequently,Business,Community Plan,-0.011557403,0.12473985
Private,97.360664,39515.496,Bimonthly,Owned,3.6170971,No,2.9106457,Friend,6.2194886e-05,0.9999812,Leader,Frequently,Business,Community Plan,0.06381661,0.0026755643
Private,82.51904,38560.754,Bimonthly,Owned,3.6695278,No,2.6078005,Friend,-0.19864897,0.9998956,Leader,Frequently,Business,Community Plan,0.10763565,0.08355291
Private,79.44381,41143.645,Bimonthly,Owned,3.7571328,No,2.8194342,Friend,-0.1097193,0.99997026,Leader,Frequently,Business,Community Plan,0.044451352,0.104898356
Private,85.27303,38606.848,Bimonthly,Owned,3.5640318,No,2.7981052,Friend,0.0763386,0.99998647,Leader,Frequently,Business,Community Plan,0.022994528,0.022183828
Private,86.73107,37258.65,Bimonthly,Owned,3.3410313,No,2.2805228,Friend,0.08965363,0.99999595,Leader,Frequently,Business,Community Plan,-0.15667461,0.11724443
Private,89.73242,38547.906,Bimonthly,Owned,3.6372333,No,2.5866935,Friend,0.014913773,0.999959,Leader,Frequently,Business,Community Plan,0.035124145,-0.010914245
Private,88.31046,42195.617,Bimonthly,Owned,3.4884996,No,2.7704644,Friend,0.07566716,0.99996054,Leader,Frequently,Business,Community Plan,0.11996152,0.020052262
Private,85.86558,37945.965,Bimonthly,Owned,3.526047,No,2.6891272,Friend,0.08910621,0.99997586,Leader,Frequently,Business,Community Plan,-0.07425983,0.08938827
Private,77.61321,38496.902,Bimonthly,Owned,3.3509603,No,2.8451717,Friend,-0.052133124,0.99998957,Leader,Frequently,Business,Community Plan,0.04489105,0.06783797
Private,86.209526,37522.09,Bimonthly,Owned,3.702073,No,2.9244168,Friend,-0.07790327,0.99998164,Leader,Frequently,Business,Community Plan,0.11107409,0.045620702
Private,76.24873,39366.945,Bimonthly,Owned,3.2997677,No,2.8920732,Friend,0.03075231,0.9999707,Leader,Frequently,Business,Community Plan,0.1010051,-0.12103295
Private,84.08136,39172.117,Bimonthly,Owned,3.3410888,No,2.804486,Friend,0.045146734,0.9999928,Leader,Frequently,Business,Community Plan,-0.07707442,0.07018639
Private,87.247795,36878.26,Bimonthly,Owned,3.403773,No,2.6351917,Friend,0.016101265,0.9999835,Leader,Frequently,Business,Community Plan,0.040618993,-0.010659324
Private,80.017746,37208.23,Bimonthly,Owned,3.7713432,No,2.589947,Friend,-0.1388887,0.99999,Leader,Frequently,Business,Community Plan,0.06978434,0.13721512
Private,84.96954,40854.254,Bimonthly,Owned,3.4578445,No,2.8283124,Friend,0.09722651,0.99994814,Leader,Frequently,Business,Community Plan,0.15464053,0.016408911
Private,85.91342,35750.17,Bimonthly,Owned,3.6167948,No,2.4390085,Friend,-0.18608588,0.9999888,Leader,Frequently,Business,Community Plan,0.0038713657,0.0780651
Private,83.77427,39069.816,Bimonthly,Owned,3.5053484,No,2.7405982,Friend,-0.057718534,0.99995935,Leader,Frequently,Business,Community Plan,0.11257593,0.07060828
Private,92.6341,37852.043,Bimonthly,Owned,3.4972167,No,2.6590521,Friend,-0.14594628,0.99996775,Leader,Frequently,Business,Community Plan,0.1250842,0.010922177
Private,78.00491,40010.254,Bimonthly,Owned,3.5849023,No,2.8128707,Friend,-0.17865354,0.999982,Leader,Frequently,Business,Community Plan,0.020426847,0.015602607
Private,84.00676,36712.582,Bimonthly,Owned,3.5486038,No,2.7700148,Friend,0.062043466,0.999978,Leader,Frequently,Business,Community Plan,0.0615334,-0.06803113
Private,84.496506,37946.89,Bimonthly,Owned,3.6991646,No,2.548857,Friend,-0.008529091,0.9999873,Leader,Frequently,Business,Community Plan,0.06228267,0.00018558977
Private,77.77198,41430.125,Bimonthly,Owned,3.1620483,No,2.7415335,Friend,-0.04478516,0.9999968,Leader,Frequently,Business,Community Plan,0.1260195,-0.026633002
Private,86.45061,41301.133,Bimonthly,Owned,3.4997687,No,2.8025243,Friend,0.11252446,0.99997216,Leader,Frequently,Business,Community Plan,0.08684786,0.12050604
Private,80.98853,37348.848,Bimonthly,Owned,3.7295864,No,2.779765,Friend,-0.15283254,0.99995935,Leader,Frequently,Business,Community Plan,-0.003355185,0.07975118
Private,89.10336,37765.5,Bimonthly,Owned,3.5703168,No,2.4052315,Friend,-0.053200368,0.99997354,Leader,Frequently,Business,Community Plan,0.03575316,-0.014059286
Private,85.237274,37986.574,Bimonthly,Owned,3.7043762,No,2.7541318,Friend,0.0016670901,0.9999548,Leader,Frequently,Business,Community Plan,0.08114075,0.01679275
Private,84.00941,37930.99,Bimonthly,Owned,3.3353398,No,2.657219,Friend,-0.051908046,0.99997574,Leader,Frequently,Business,Community Plan,0.091923736,0.039257064
Private,85.26307,41123.324,Bimonthly,Owned,3.3979414,No,2.7970703,Friend,0.034359008,0.999981,Leader,Frequently,Business,Community Plan,0.084090166,0.122900315
Private,74.94346,40836.543,Bimonthly,Owned,3.6172118,No,3.045745,Friend,-0.033263024,0.99996907,Leader,Frequently,Business,Community Plan,0.056793544,0.019572519
Private,80.62394,36043.523,Bimonthly,Owned,3.7932863,No,2.3798351,Friend,-0.11144928,0.9999886,Leader,Frequently,Business,Community Plan,0.06724553,-0.059399795
Private,82.65619,37729.3,Bimonthly,Owned,3.8273988,No,2.7090125,Friend,-0.3088492,0.99998784,Leader,Frequently,Business,Community Plan,0.03076059,0.06843283
Private,84.4156,35711.438,Bimonthly,Owned,3.6603754,No,2.5866878,Friend,-0.08406142,0.999999,Leader,Frequently,Business,Community Plan,0.13199444,-0.024170924
Private,92.437805,40166.016,Bimonthly,Owned,3.4163713,No,2.7607355,Friend,0.1637281,0.99999535,Leader,Frequently,Business,Community Plan,-0.02765036,0.07861912
Private,82.58292,40888.773,Bimonthly,Owned,3.5511541,No,3.0354207,Friend,-0.1434318,0.9999852,Leader,Frequently,Business,Community Plan,0.038573973,0.054401956
Private,83.62026,35633.996,Bimonthly,Owned,3.6612082,No,2.5175683,Friend,0.08028411,0.99994344,Leader,Frequently,Business,Community Plan,-0.061964784,-0.03475675
Private,79.885574,39284.69,Bimonthly,Owned,3.398819,No,2.9111793,Friend,0.098717675,0.9999923,Leader,Frequently,Business,Community Plan,0.0075417035,0.04014419
Private,78.8458,35452.633,Bimonthly,Owned,3.647069,No,2.620468,Friend,0.037178278,0.9999736,Leader,Frequently,Business,Community Plan,0.044706855,0.03808962
Private,73.559425,36727.277,Bimonthly,Owned,3.6665814,No,2.7711132,Friend,0.017137429,0.9999933,Leader,Frequently,Business,Community Plan,0.07111513,0.09725261
Private,82.25305,42662.258,Bimonthly,Owned,3.8742845,No,2.9953291,Friend,-0.13812478,0.99996275,Leader,Frequently,Business,Community Plan,0.075205356,0.15625936
Private,84.713646,38049.805,Bimonthly,Owned,3.5684671,No,2.7922282,Friend,0.051959105,0.9999816,Leader,Frequently,Business,Community Plan,-0.048385136,0.08591612
Private,82.63769,40101.094,Bimonthly,Owned,3.6098738,No,2.6543863,Friend,-0.14736468,0.99999726,Leader,Frequently,Business,Community Plan,-0.0034167056,0.11762861
Private,90.86528,38962.734,Bimonthly,Owned,3.692332,No,2.7029808,Friend,-0.10991114,0.99997944,Leader,Frequently,Business,Community Plan,0.07847179,0.0898848
Private,79.205215,37376.312,Bimonthly,Owned,3.38306,No,2.6085608,Friend,-0.043939,0.9999962,Leader,Frequently,Business,Community Plan,0.017746892,-0.005827654
Private,80.69913,42200.395,Bimonthly,Owned,3.5621796,No,2.6636264,Friend,-0.046954174,0.9999878,Leader,Frequently,Business,Community Plan,0.12997589,0.058135726
Private,82.80864,38919.867,Bimonthly,Owned,3.7059984,No,2.8487525,Friend,-0.029268034,0.99984854,Leader,Frequently,Business,Community Plan,0.08914705,0.07434384
Private,83.30526,41186.36,Bimonthly,Owned,3.6361594,No,2.5866818,Friend,-0.11571169,0.9999567,Leader,Frequently,Business,Community Plan,0.021080183,0.036463298
Private,79.72828,39060.86,Bimonthly,Owned,3.3916478,No,2.6911323,Friend,-0.055300735,0.9999645,Leader,Frequently,Business,Community Plan,-0.050589945,0.14935975
Private,86.964874,40171.047,Bimonthly,Owned,3.4958236,No,2.7863412,Friend,0.079666786,0.99998504,Leader,Frequently,Business,Community Plan,0.049674205,0.018500315
Private,80.72233,35733.023,Bimonthly,Owned,3.6073983,No,2.5576446,Friend,-0.07736863,0.9999668,Leader,Frequently,Business,Community Plan,0.04886658,0.056363765
Private,84.473785,40300.715,Bimonthly,Owned,3.3931134,No,2.5752068,Friend,-0.08085292,0.99998647,Leader,Frequently,Business,Community Plan,-0.07012247,0.150575
Private,89.89635,37583.637,Bimonthly,Owned,3.8443725,No,2.774435,Friend,-0.086759426,0.9999527,Leader,Frequently,Business,Community Plan,0.06814639,0.10249805
Private,80.22988,38165.49,Bimonthly,Owned,3.863358,No,2.8094273,Friend,-0.1344749,0.9999784,Leader,Frequently,Business,Community Plan,-0.002318758,0.07156081
Private,83.24267,41085.156,Bimonthly,Owned,3.835236,No,2.8257349,Friend,-0.13230066,0.999979,Leader,Frequently,Business,Community Plan,0.07071395,0.09201938
Private,85.60674,41735.09,Bimonthly,Owned,3.62552,No,2.9171033,Friend,-0.14011104,0.9999796,Leader,Frequently,Business,Community Plan,0.06859592,-0.014025784
Private,82.57187,37934.67,Bimonthly,Owned,3.3773272,No,2.8190598,Friend,0.06662046,0.99998724,Leader,Frequently,Business,Community Plan,0.056727827,-0.13281241
Private,85.82064,37695.934,Bimonthly,Owned,3.254932,No,2.373318,Friend,0.05521695,0.9999718,Leader,Frequently,Business,Community Plan,0.06416976,0.01763935
Private,79.83436,38116.3,Bimonthly,Owned,3.4767857,No,2.729645,Friend,-0.0630216,0.9999678,Leader,Frequently,Business,Community Plan,0.0058152177,0.12123424
Private,81.981186,37155.535,Bimonthly,Owned,3.4724743,No,2.746322,Friend,-0.18221012,0.9999764,Leader,Frequently,Business,Community Plan,0.006663273,0.08269695
Private,84.2428,37137.17,Bimonthly,Owned,3.651041,No,2.4483564,Friend,-0.21009673,0.9999894,Leader,Frequently,Business,Community Plan,0.11230097,0.056482997
Private,85.95408,42413.715,Bimonthly,Owned,3.5925388,No,2.893743,Friend,-0.07433709,0.99996936,Leader,Frequently,Business,Community Plan,0.029064849,0.11033982
Private,83.42981,35753.195,Bimonthly,Owned,3.5912116,No,2.6184173,Friend,0.15070225,0.99995506,Leader,Frequently,Business,Community Plan,0.0038283993,-0.023968054
Private,78.926796,38367.785,Bimonthly,Owned,3.710243,No,2.5388668,Friend,-0.08449117,0.9999866,Leader,Frequently,Business,Community Plan,-0.033646293,0.023388356
Private,73.59718,38449.562,Bimonthly,Owned,3.2675455,No,2.693588,Friend,0.10215933,0.99998057,Leader,Frequently,Business,Community Plan,-0.07275635,0.15327236
Private,87.99047,39124.543,Bimonthly,Owned,3.3737953,No,2.6150928,Friend,0.053841267,0.99998397,Leader,Frequently,Business,Community Plan,-0.018943783,0.10698066
Private,81.950745,37716.223,Bimonthly,Owned,3.4358013,No,2.6143126,Friend,-0.08901332,0.9999905,Leader,Frequently,Business,Community Plan,0.053361412,0.15275837
Private,84.988716,41923.95,Bimonthly,Owned,3.40118,No,2.7148733,Friend,-0.050132316,0.9999654,Leader,Frequently,Business,Community Plan,0.08857312,0.14816877
Private,83.9517,39575.047,Bimonthly,Owned,3.734477,No,2.6857336,Friend,-0.22510965,0.99998516,Leader,Frequently,Business,Community Plan,0.16474938,-0.011645478
Private,83.09095,38663.547,Bimonthly,Owned,3.3560395,No,2.7332425,Friend,0.068785906,0.9999533,Leader,Frequently,Business,Community Plan,0.032725103,0.07416628
Private,83.728035,40972.54,Bimonthly,Owned,3.4098442,No,2.717175,Friend,-0.08400684,0.99994695,Leader,Frequently,Business,Community Plan,0.09740422,0.120121844
Private,90.39896,41539.383,Bimonthly,Owned,3.6841886,No,2.9301307,Friend,0.08587616,0.99995,Leader,Frequently,Business,Community Plan,0.01561074,-0.008229173
Private,85.51952,40677.832,Bimonthly,Owned,3.5427039,No,2.7287912,Friend,-0.08559048,0.9999808,Leader,Frequently,Business,Community Plan,0.04845699,0.057054088
Private,79.07918,38186.938,Bimonthly,Owned,3.368879,No,2.7566283,Friend,-0.065215595,0.9999551,Leader,Frequently,Business,Community Plan,0.029295463,0.1253603
Private,89.594124,36218.363,Bimonthly,Owned,3.645411,No,2.6238585,Friend,0.05351404,0.9999871,Leader,Frequently,Business,Community Plan,0.14321704,-0.13360369
Private,81.31704,37402.8,Bimonthly,Owned,3.5903816,No,2.6005476,Friend,-0.023032013,0.9999974,Leader,Frequently,Business,Community Plan,0.019792685,0.012531648
Private,89.58648,36100.71,Bimonthly,Owned,3.642635,No,2.5124514,Friend,0.029625049,0.9999867,Leader,Frequently,Business,Community Plan,0.093991935,-0.1238273
Private,90.22722,39272.035,Bimonthly,Owned,3.6216993,No,2.7423415,Friend,-0.07894183,0.99997866,Leader,Frequently,Business,Community Plan,0.053939622,0.08630686
Private,81.03342,36214.984,Bimonthly,Owned,3.542396,No,2.6192884,Friend,0.025890214,0.9999683,Leader,Frequently,Business,Community Plan,0.08962227,0.003626219
Private,77.26495,34990.527,Bimonthly,Owned,3.4249742,No,2.380806,Friend,-0.10448124,0.9999808,Leader,Frequently,Business,Community Plan,0.040858895,0.18611206
Private,81.11262,38712.836,Bimonthly,Owned,3.6090548,No,2.7723632,Friend,-0.050205052,0.9999884,Leader,Frequently,Business,Community Plan,0.00340317,0.13040693
Private,89.088326,39149.277,Bimonthly,Owned,3.5090992,No,2.7681382,Friend,-0.050587762,0.99979943,Leader,Frequently,Business,Community Plan,0.015324205,0.118410885
Private,81.69396,38738.418,Bimonthly,Owned,3.5941749,No,2.8098643,Friend,0.03535382,0.99999136,Leader,Frequently,Business,Community Plan,0.020643407,0.113628745
Private,83.9891,38338.484,Bimonthly,Owned,3.5569823,No,2.6777477,Friend,-0.059864808,0.99998623,Leader,Frequently,Business,Community Plan,0.13011587,0.088868566
Private,79.13517,37981.527,Bimonthly,Owned,3.4786696,No,2.6560988,Friend,0.07348612,0.9999422,Leader,Frequently,Business,Community Plan,0.023161799,0.106577836
Private,86.177246,35350.863,Bimonthly,Owned,3.163088,No,2.2478917,Friend,0.19145258,0.999986,Leader,Frequently,Business,Community Plan,-0.036371853,-0.020269224
Private,77.680214,36884.273,Bimonthly,Owned,3.4025588,No,2.9007277,Friend,0.07801321,0.9999732,Leader,Frequently,Business,Community Plan,-0.02165696,0.05040245
Private,81.185486,38976.008,Bimonthly,Owned,3.3527522,No,2.788714,Friend,-0.09418272,0.9998832,Leader,Frequently,Business,Community Plan,-0.043312754,0.088891014
Private,85.81334,39720.254,Bimonthly,Owned,3.6443167,No,2.645545,Friend,-0.091194324,0.9999674,Leader,Frequently,Business,Community Plan,0.034709662,0.17810668
Private,82.78325,38705.242,Bimonthly,Owned,3.4259636,No,2.7176495,Friend,-0.059517775,0.9999231,Leader,Frequently,Business,Community Plan,0.11556611,0.20703967
Private,87.08498,41104.277,Bimonthly,Owned,3.8837729,No,2.7170112,Friend,-0.19333237,0.99996454,Leader,Frequently,Business,Community Plan,0.06504108,0.021827212
Private,81.50023,39817.867,Bimonthly,Owned,3.8131495,No,2.7664862,Friend,-0.09565668,0.9999775,Leader,Frequently,Business,Community Plan,0.03099394,0.14616655
Private,80.53813,37522.254,Bimonthly,Owned,3.665408,No,2.7538571,Friend,-0.14423004,0.99998516,Leader,Frequently,Business,Community Plan,0.057065163,0.049508754
Private,86.32335,40387.01,Bimonthly,Owned,3.5741918,No,2.9027605,Friend,0.03049337,0.99997807,Leader,Frequently,Business,Community Plan,0.07323745,0.1027961
Private,85.805466,33454.418,Bimonthly,Owned,3.3838065,No,2.5538876,Friend,0.12613975,0.99995804,Leader,Frequently,Business,Community Plan,0.08991688,-0.10591341
Private,92.52887,38393.586,Bimonthly,Owned,3.3881636,No,2.5597644,Friend,-0.070092544,0.99995303,Leader,Frequently,Business,Community Plan,0.011013687,0.08867928
Private,78.70376,37772.22,Bimonthly,Owned,3.7133482,No,2.6765747,Friend,-0.05279797,0.99998695,Leader,Frequently,Business,Community Plan,-0.00090261153,0.15018114
Private,85.5794,36665.207,Bimonthly,Owned,3.4833946,No,2.6993034,Friend,0.25265488,0.99999154,Leader,Frequently,Business,Community Plan,0.047333203,0.014707856
Private,87.26665,38006.004,Bimonthly,Owned,3.6781073,No,2.8886993,Friend,0.085475095,0.99997175,Leader,Frequently,Business,Community Plan,0.020568648,0.11108172
Private,86.80175,38936.543,Bimonthly,Owned,3.5809639,No,2.7730026,Friend,-0.12927777,0.9999778,Leader,Frequently,Business,Community Plan,0.017094098,0.09414846
Private,86.03278,39016.89,Bimonthly,Owned,3.4743686,No,2.7184315,Friend,-0.026899138,0.99995756,Leader,Frequently,Business,Community Plan,0.022995478,0.016198767
Private,83.11721,36628.367,Bimonthly,Owned,3.5578818,No,2.906738,Friend,0.04349447,0.99994665,Leader,Frequently,Business,Community Plan,-0.023898294,0.033702742
Private,81.557076,37185.984,Bimonthly,Owned,3.3518407,No,2.8638027,Friend,0.17422691,0.9999858,Leader,Frequently,Business,Community Plan,0.00486955,-0.010001468
Private,88.355125,39210.48,Bimonthly,Owned,3.661517,No,2.6535184,Friend,-0.04652827,0.9999743,Leader,Frequently,Business,Community Plan,0.012248417,0.032744117
Private,79.785934,36881.457,Bimonthly,Owned,3.3870606,No,2.6781468,Friend,-0.038872223,0.99997294,Leader,Frequently,Business,Community Plan,-0.0046905307,0.044316553
Private,74.44717,36618.8,Bimonthly,Owned,3.328002,No,2.7327232,Friend,-0.008927275,0.9999972,Leader,Frequently,Business,Community Plan,0.028396416,-0.0037006752
Private,79.889145,34362.105,Bimonthly,Owned,3.6068819,No,2.3900378,Friend,-0.002807973,0.9999617,Leader,Frequently,Business,Community Plan,0.005481855,-0.09692668
Private,90.40307,40114.836,Bimonthly,Owned,3.8073137,No,2.7381027,Friend,-0.09701826,0.9999824,Leader,Frequently,Business,Community Plan,0.042468134,0.16326597
Private,79.90041,43335.473,Bimonthly,Owned,3.5892923,No,2.8314536,Friend,0.052924685,0.9999647,Leader,Frequently,Business,Community Plan,0.11657465,-0.03346492
Private,84.55374,36870.832,Bimonthly,Owned,3.2720208,No,2.6687596,Friend,0.028576294,0.9999593,Leader,Frequently,Business,Community Plan,0.058666304,0.08565125
Private,79.754395,40798.574,Bimonthly,Owned,3.4202316,No,2.8295681,Friend,0.026777603,0.99999565,Leader,Frequently,Business,Community Plan,0.034527898,-0.070083424
Private,87.03069,38095.676,Bimonthly,Owned,3.7592585,No,2.547891,Friend,-0.019857284,0.9999665,Leader,Frequently,Business,Community Plan,-0.004926351,0.06812318
Private,86.76721,36310.85,Bimonthly,Owned,3.5054328,No,2.722362,Friend,-0.038600955,0.9999505,Leader,Frequently,Business,Community Plan,0.083624825,-0.05047409
Private,82.22323,39896.566,Bimonthly,Owned,3.455404,No,2.7352924,Friend,-0.015038569,0.99999315,Leader,Frequently,Business,Community Plan,0.09347011,0.10628235
Private,85.68838,34797.242,Bimonthly,Owned,3.5022414,No,2.7843637,Friend,0.06250784,0.9999922,Leader,Frequently,Business,Community Plan,0.14587511,-0.016477002
Private,76.613235,37964.195,Bimonthly,Owned,3.6692727,No,2.8414125,Friend,-0.007960706,0.99997485,Leader,Frequently,Business,Community Plan,0.11453304,0.012334451
Private,85.68719,39726.67,Bimonthly,Owned,3.6657393,No,2.8233297,Friend,-0.067181565,0.9999774,Leader,Frequently,Business,Community Plan,0.05643458,0.11468739
Private,87.26046,36111.297,Bimonthly,Owned,3.3953187,No,2.4254873,Friend,0.03767809,0.99997663,Leader,Frequently,Business,Community Plan,0.031821582,0.076873176
Private,86.386955,39429.72,Bimonthly,Owned,3.5978072,No,2.4750705,Friend,-0.09779453,0.9999918,Leader,Frequently,Business,Community Plan,0.028476104,-0.035540238
Private,79.89837,35346.598,Bimonthly,Owned,3.5202777,No,2.5223405,Friend,-0.004477188,0.99999756,Leader,Frequently,Business,Community Plan,0.0037213108,0.16407362
Private,81.18306,37153.59,Bimonthly,Owned,3.1939738,No,2.7212272,Friend,0.15487334,0.99999106,Leader,Frequently,Business,Community Plan,-0.045567192,-0.019882573
Private,89.20623,37479.586,Bimonthly,Owned,3.6612504,No,2.5531902,Friend,-0.12073983,0.99994993,Leader,Frequently,Business,Community Plan,0.03904263,0.1354976
Private,82.27377,36880.43,Bimonthly,Owned,3.6593604,No,2.6456835,Friend,-0.12862124,0.999962,Leader,Frequently,Business,Community Plan,0.052033257,0.13896446
Private,82.66284,39479.582,Bimonthly,Owned,3.5768147,No,2.6618245,Friend,0.027186316,0.99996746,Leader,Frequently,Business,Community Plan,-0.008602511,0.07155622
Private,83.894295,35947.312,Bimonthly,Owned,3.6569774,No,2.6095777,Friend,0.16472158,0.99995935,Leader,Frequently,Business,Community Plan,-0.03591926,0.0045420066
Private,80.52327,41012.38,Bimonthly,Owned,3.61998,No,2.8921223,Friend,-0.105878994,0.99998516,Leader,Frequently,Business,Community Plan,0.13402127,0.086689256
Private,88.69751,39226.098,Bimonthly,Owned,3.4894419,No,2.5897403,Friend,0.0076503824,0.9999766,Leader,Frequently,Business,Community Plan,0.09215133,0.117675126
Private,87.602585,39811.35,Bimonthly,Owned,3.498652,No,2.6352184,Friend,-0.08078521,0.99993664,Leader,Frequently,Business,Community Plan,0.06370177,0.20903951
Private,86.67157,39079.91,Bimonthly,Owned,3.5506198,No,2.6267033,Friend,-0.015750382,0.9999565,Leader,Frequently,Business,Community Plan,0.060108375,0.104386285
Private,85.80717,36321.74,Bimonthly,Owned,3.2170875,No,2.5437706,Friend,0.09351474,0.9999866,Leader,Frequently,Business,Community Plan,0.0770291,-0.0901865
Private,85.07164,39402.805,Bimonthly,Owned,3.6864576,No,2.772385,Friend,-0.021590266,0.999976,Leader,Frequently,Business,Community Plan,0.14649613,0.021092683
Private,82.17647,39232.25,Bimonthly,Owned,3.8759897,No,2.8255756,Friend,-0.11090042,0.9999507,Leader,Frequently,Business,Community Plan,0.0030023253,0.05938644
Private,90.49336,38999.67,Bimonthly,Owned,3.6750455,No,2.4577835,Friend,-0.11507159,0.9999774,Leader,Frequently,Business,Community Plan,0.015768275,0.093441315
Private,87.594246,39292.137,Bimonthly,Owned,3.4980247,No,2.663643,Friend,0.09927528,0.99998724,Leader,Frequently,Business,Community Plan,0.035698727,0.08920382
Private,87.38165,40849.242,Bimonthly,Owned,3.6831408,No,2.8095708,Friend,0.040662393,0.99997807,Leader,Frequently,Business,Community Plan,0.146792,-0.009633452
Private,86.933655,39738.535,Bimonthly,Owned,3.4823978,No,2.5339482,Friend,-0.043913417,0.9999679,Leader,Frequently,Business,Community Plan,0.068571225,0.10477465
Private,84.45347,40488.125,Bimonthly,Owned,3.5533445,No,2.7170937,Friend,-0.07703957,0.99999344,Leader,Frequently,Business,Community Plan,-0.08366132,0.15792537
Private,80.17821,40830.684,Bimonthly,Owned,3.683999,No,2.9364207,Friend,-0.06486953,0.99998915,Leader,Frequently,Business,Community Plan,0.052321408,0.035167776
Private,84.60446,39216.426,Bimonthly,Owned,3.6465218,No,2.7009177,Friend,-0.13273154,0.999905,Leader,Frequently,Business,Community Plan,0.04125779,0.091489315
Private,80.08879,37178.684,Bimonthly,Owned,3.465571,No,2.618444,Friend,-0.089611106,0.9999705,Leader,Frequently,Business,Community Plan,0.09953981,0.07517495
Private,84.73459,39878.926,Bimonthly,Owned,3.6198516,No,2.7681642,Friend,0.05350729,0.999962,Leader,Frequently,Business,Community Plan,0.10778148,0.1164801
Private,81.317604,37854.004,Bimonthly,Owned,3.4424078,No,2.8140104,Friend,0.2594625,0.9999655,Leader,Frequently,Business,Community Plan,0.033007614,0.08164902
Private,95.074745,40284.637,Bimonthly,Owned,3.343679,No,2.5674028,Friend,0.10376961,0.99998844,Leader,Frequently,Business,Community Plan,0.044721458,0.17832768
Private,78.76464,37158.72,Bimonthly,Owned,3.4893832,No,2.5718682,Friend,-0.14014551,0.9999883,Leader,Frequently,Business,Community Plan,0.04907157,0.1418673
Private,81.591095,40122.89,Bimonthly,Owned,3.7595825,No,2.7527347,Friend,-0.10949446,0.9999788,Leader,Frequently,Business,Community Plan,0.00075988827,0.1514577
Private,85.016365,36910.527,Bimonthly,Owned,3.4843853,No,2.6765153,Friend,0.049650885,0.9998741,Leader,Frequently,Business,Community Plan,0.009274425,0.14806922
Private,82.10294,36537.0,Bimonthly,Owned,3.598796,No,2.5547583,Friend,0.014839271,0.99996924,Leader,Frequently,Business,Community Plan,0.12616296,-0.0479006
Private,79.09904,37234.55,Bimonthly,Owned,3.5624084,No,2.6166384,Friend,0.088286795,0.999974,Leader,Frequently,Business,Community Plan,0.09053535,0.09995216
Private,76.487274,39458.74,Bimonthly,Owned,3.7786505,No,2.6167686,Friend,-0.12796098,0.9999866,Leader,Frequently,Business,Community Plan,0.03883078,0.11463843
Private,82.2858,38104.184,Bimonthly,Owned,3.5921767,No,2.6404161,Friend,-0.10444812,0.9999203,Leader,Frequently,Business,Community Plan,0.01978299,0.08706797
Private,89.29754,40486.22,Bimonthly,Owned,3.6216755,No,2.7578828,Friend,-0.0911921,0.9999881,Leader,Frequently,Business,Community Plan,0.11040488,0.153818
Private,86.482925,41372.844,Bimonthly,Owned,3.2449949,No,2.8475692,Friend,0.057625644,0.99998444,Leader,Frequently,Business,Community Plan,-0.028173096,0.115909964
Private,87.88947,41183.7,Bimonthly,Owned,3.5821304,No,2.8749957,Friend,0.015633782,0.9999872,Leader,Frequently,Business,Community Plan,-0.006257367,0.124740176
